SUP_ID;STA_NM_ANFR;NAT_ID;COR_NB_DG_LAT;COR_NB_MN_LAT;COR_NB_SC_LAT;COR_CD_NS_LAT;COR_NB_DG_LON;COR_NB_MN_LON;COR_NB_SC_LON;COR_CD_EW_LON;SUP_NM_HAUT;TPO_ID;ADR_LB_LIEU;ADR_LB_ADD1;ADR_LB_ADD2;ADR_LB_ADD3;ADR_NM_CP;COM_CD_INSEE
74037;0140220056;23;49;20;22;N;0;58;15;W;30;74;;chem rural n°9;;;14230;14378
74037;0142290101;23;49;20;22;N;0;58;15;W;30;74;;chem rural n°9;;;14230;14378
52439;0040220069;23;43;55;52;N;5;38;12;E;15;74;La grange;D 114;;;04110;04227
105371;0120220091;23;44;53;38;N;2;45;7;E;30;74;;La Pauzo;;;12600;12280
107082;0120220109;23;44;38;9;N;2;27;10;E;7;16;;Lagarde;;;12320;12268
253787;0120180059;23;44;34;43;N;2;13;14;E;26;;;MILLAGUES;;;12300;12028
1067903;0120230038;17;44;33;59;N;2;4;49;E;6;13;;1, rue Mermoz;;;12700;12052
25915;0132700411;26;43;13;17;N;5;37;42;E;20;72;;av eugène julien;Stade Municipal;;13600;13023
108747;0060220188;17;43;51;59;N;6;45;31;E;5;16;VILLAGE;CHEM DE BRIANCONNET A GARS;;;06850;06024
250283;0040180002;17;44;10;55;N;6;37;45;E;15;;;Inconnu;Bureau des Ponts et Chaussées;;04370;04061
250476;0040180014;17;44;5;51;N;6;14;1;E;19;6;;42 BD VICTOR HUGO;;;04000;04070
67819;0282290085;4;48;28;19;N;1;39;52;E;30;17;;La Grouée;D 28;;28700;28397
8425;0290250002;17;48;27;39;N;4;25;48;W;19;20;L'Ormeau;;;;29860;29160
57339;0290270006;41;48;27;33;N;5;7;44;W;52;23;Phare du Creac'h;;;;29242;29155
263509;0290270006;17;48;27;33;N;5;7;44;W;17;23;Phare du Creac'h;;;;29242;29155
915273;0240230044;17;44;50;45;N;0;38;3;E;9;13;;Av du Barrage;usine de tuilieres;;24150;24382
916880;0240230049;11;44;52;47;N;1;13;56;E;12;13;;r denis papin;ZI MADRAZES;;24200;24520
90044;0240220086;23;45;21;8;N;1;7;8;E;24;74;Rezonzac;Château d'eau;;;24160;24463
90044;0242290080;23;45;21;8;N;1;7;8;E;24;74;Rezonzac;Château d'eau;;;24160;24463
254345;0130180031;42;43;46;55;N;4;49;57;E;12;;;Av de Van Gogh;;;13210;13100
109926;0010130092;23;46;14;18;N;5;16;34;E;40;30;Sortie Viriat;;;;01440;01451
756322;0010220010;17;46;22;0;N;5;59;49;E;8;34;bureau de poste;;;;01410;01247
74405;0172290091;4;45;47;58;N;0;26;23;W;26,3;17;Le Bourg;rue des Grelots;Château d'eau;;17770;17470
