Type ouvrage;Code ligne 1;Nom ligne 1;Etat;TENSION;Source donnée;Nombre circuit;Code ligne 2;Nom ligne 2;Code ligne 3;Nom ligne 3;Code ligne 4;Nom ligne 4;Code ligne 5;Nom ligne 5
AERIEN;B.CARL62LINGO;LIAISON 225kV N0 2 BROC-CARROS (LE)-LINGOSTIERE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;BAIXAL31TAUTA;LIAISON 63kV N0 1 BAIXAS - TAUTAVEL;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;BIRONL41SSEVR;LIAISON 90kV N0 1 BIRON-ST-EVROULT;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;LONGUL31MORU;LIAISON 63kV N0 1 LONGUEIL-MORU;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;NOGENL61ORMES;LIAISON 225kV N0 1 NOGENTEL - ORMES;EN EXPLOITATION;225kV;RTE;2;ORMESL61VESLE;LIAISON 225kV N0 1 ORMES-VESLE;;;;;;
AERIEN;SALLAL31ZFAYE;LIAISON 63kV N0 1 FAYET (LE)-PASSY-SALLANCHES;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;LISLOL31QUIM5;LIAISON 63kV N0 1 LISLOCH-QUIMPERLE;EN EXPLOITATION;63kV;RTE;2;ZBOTLL32ZLISL;RES. LIAISON 63kV N0 2 PIQUAGE A BOTLAN - PIQUAGE A LISLOCH;;;;;;
AERIEN;BROUZL31VIRAD;LIAISON 63kV N0 1 BROUZEN - VIRADEL;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;BRUYEL31CHOLO;LIAISON 63kV N0 1 BRUYERES (LES) - CHOLOY;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;M.CAML31REVIN;LIAISON 63kV N0 1 MAL CAMPEE (LA)-REVIN;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;DOBERL31PLEMY;LIAISON 63kV N0 1 DOBERIE-PLEMY;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;RECY L31SUIPP;LIAISON 63kV N0 1 RECY-SUIPPES;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;P.BORL61ZLAFI;LIAISON 225kV N0 1 BARJAC - PIED-DE-BORNE - LAFIGERE;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;AVELIL72GAVRE;LIAISON 400kV N0 2 AVELIN - GAVRELLE;EN EXPLOITATION;400kV;RTE;1;;;;;;;;
AERIEN;GENEUL31PALEN;LIAISON 63kV N0 1 GENEUILLE-PALENTE;EN EXPLOITATION;63kV;RTE;2;PALENL31ZGENE;LIAISON 63kV N0 1 GENEUILLE-GY-PALENTE;;;;;;
AERIEN;CONTAL31POMBL;LIAISON 63kV N0 1 CONTAMINE-POMBLIERE;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;FTOY L31SSHUB;LIAISON 63kV N0 1 FONTOY-ST-HUBERT;EN EXPLOITATION;63kV;RTE;2;FTOY L31SSHUB;LIAISON 63kV N0 1 FONTOY-ST-HUBERT;;;;;;
AERIEN;VLENOL31ZVLEN;LIAISON 63kV N0 1 CHAUCONIN-VILLENOY-VILLEVAUDE;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;MOUTHL31PTARL;LIAISON 63kV N0 1 MOUTHIER-PONTARLIER;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;AVOINL41CHIN5;LIAISON 90kV N0 1 AVOINE-CHINON;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;MINIHL31ROSPE;LIAISON 63kV N0 1 MINIHY-ROSPEZ;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;THIMEL41ZTHIM;LIAISON 90kV N0 1 ARPENTS (LES) - POIRIER - THIMERT;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;MADE6L61ZMAD6;LIAISON 225kV N0 1 LA MADELEINE - LANEUVEVILLE - VINCEY;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
