statut;geo_point_2d;geo_shape
En exploitation;41.98317982155425, 8.796176250539945;"{""coordinates"": [[8.7962308, 41.9831813], [8.7961828, 41.98318], [8.7961277, 41.9831785], [8.7961226, 41.9831784], [8.7961217, 41.9831784]], ""type"": ""LineString""}"
En exploitation;41.983441310980425, 8.795464676735302;"{""coordinates"": [[8.7954662, 41.983396], [8.7954633, 41.9834821], [8.7954633, 41.9834858], [8.7954631, 41.9834866]], ""type"": ""LineString""}"
En exploitation;41.98342056366474, 8.79528839991806;"{""coordinates"": [[8.7954662, 41.983396], [8.7953735, 41.9834088], [8.7952295, 41.9834286], [8.7951285, 41.9834429], [8.795135, 41.9834416], [8.7951226, 41.9834437]], ""type"": ""LineString""}"
En exploitation;41.98324923955314, 8.795048425391235;"{""coordinates"": [[8.7951226, 41.9834437], [8.7949759, 41.9830591], [8.7949744, 41.9830554], [8.7949742, 41.9830548]], ""type"": ""LineString""}"
En exploitation;41.98341282724357, 8.793814075245933;"{""coordinates"": [[8.7937013, 41.983453], [8.7937115, 41.9834344], [8.7939308, 41.9833868], [8.7939365, 41.9833856]], ""type"": ""LineString""}"
En exploitation;41.98378092472504, 8.793571327025983;"{""coordinates"": [[8.7933505, 41.9835721], [8.7937884, 41.9839862], [8.79379, 41.9839877], [8.7937922, 41.9839897]], ""type"": ""LineString""}"
En exploitation;41.98371335, 8.798992649999999;"{""coordinates"": [[8.7989701, 41.9835896], [8.7990152, 41.9838371]], ""type"": ""LineString""}"
En exploitation;41.98611586539246, 8.802714447878367;"{""coordinates"": [[8.8021766, 41.986556], [8.8021814, 41.9865532], [8.8023328, 41.9864651], [8.8024846, 41.9863768], [8.8027904, 41.986199], [8.8030287, 41.9861089], [8.8030467, 41.9861021], [8.8029995, 41.9860461], [8.8027209, 41.9855301]], ""type"": ""LineString""}"
En exploitation;41.98501037684979, 8.80215575794964;"{""coordinates"": [[8.8023182, 41.9850285], [8.8019993, 41.9849929], [8.8019969, 41.9849931], [8.8019959, 41.9849932], [8.8019933, 41.9849934]], ""type"": ""LineString""}"
En exploitation;41.98449264263888, 8.801957251850471;"{""coordinates"": [[8.8023182, 41.9850285], [8.802317, 41.9850241], [8.8022464, 41.9847793], [8.802214, 41.9846666], [8.8021804, 41.9845496], [8.8021433, 41.9844211], [8.8021071, 41.9842954], [8.8015927, 41.9843403], [8.8013605, 41.9843606], [8.8013304, 41.9843632], [8.8013164, 41.9843644]], ""type"": ""LineString""}"
En exploitation;41.98603217642734, 8.801194276815869;"{""coordinates"": [[8.8020428, 41.9859188], [8.8020371, 41.9859204], [8.8016139, 41.9860367], [8.8011274, 41.9861919], [8.8010375, 41.9862205], [8.8004956, 41.9858141], [8.8004176, 41.9857558]], ""type"": ""LineString""}"
En exploitation;41.980837965409805, 8.808530893565536;"{""coordinates"": [[8.8080023, 41.9804068], [8.8087144, 41.980954], [8.8087244, 41.9809618], [8.8088069, 41.9810693], [8.8089982, 41.9813184], [8.8090034, 41.9813252]], ""type"": ""LineString""}"
En exploitation;41.981343949999996, 8.80915055;"{""coordinates"": [[8.8090034, 41.9813252], [8.8092977, 41.9813627]], ""type"": ""LineString""}"
En exploitation;41.981172820214724, 8.811293344505653;"{""coordinates"": [[8.8103371, 41.981349], [8.810343, 41.9813479], [8.8108042, 41.9812629], [8.8111544, 41.9811984], [8.8122496, 41.9809967]], ""type"": ""LineString""}"
En exploitation;41.979340699836726, 8.804123100877186;"{""coordinates"": [[8.8044003, 41.9795138], [8.8042651, 41.9794131], [8.8040682, 41.9792666], [8.8039944, 41.9792117], [8.8038671, 41.9793509], [8.8038637, 41.9793546]], ""type"": ""LineString""}"
En exploitation;41.979679976438405, 8.804209871425531;"{""coordinates"": [[8.8044003, 41.9795138], [8.8040234, 41.9798427], [8.804023, 41.9798431], [8.8040194, 41.9798461]], ""type"": ""LineString""}"
En exploitation;41.98433978876834, 8.80617659336645;"{""coordinates"": [[8.8055206, 41.9849177], [8.8055246, 41.9849143], [8.8060007, 41.9844938], [8.806198, 41.9843194], [8.8064908, 41.9840635], [8.8065934, 41.9839738], [8.8068301, 41.983767], [8.8068341, 41.9837636]], ""type"": ""LineString""}"
En exploitation;41.99604282877163, 8.79882182883731;"{""coordinates"": [[8.7986819, 41.9959401], [8.7986862, 41.9959433], [8.7989477, 41.9961352], [8.7989618, 41.9961455]], ""type"": ""LineString""}"
En exploitation;41.99610000016317, 8.79802098262275;"{""coordinates"": [[8.7973565, 41.9962447], [8.798045, 41.9961012], [8.7983649, 41.9960219], [8.7985825, 41.9959679], [8.7986819, 41.9959401]], ""type"": ""LineString""}"
En exploitation;41.996570496713886, 8.79740514954052;"{""coordinates"": [[8.7973565, 41.9962447], [8.7973573, 41.9962492], [8.797453, 41.9968918], [8.7974537, 41.9968956], [8.7974537, 41.9968963]], ""type"": ""LineString""}"
En exploitation;41.997424718677976, 8.792903680250454;"{""coordinates"": [[8.7922571, 41.9977813], [8.7922622, 41.9977789], [8.7923986, 41.9977131], [8.7929138, 41.9974645], [8.7929185, 41.9974622], [8.7930947, 41.9973331], [8.7932272, 41.9972362], [8.7934232, 41.9970478], [8.7934918, 41.996982]], ""type"": ""LineString""}"
