statut;geo_point_2d;geo_shape
En exploitation;42.629236805827865, 9.439603549051657;"{""coordinates"": [[9.4395341, 42.628908], [9.4395377, 42.6289224], [9.4395382, 42.6289359], [9.4395755, 42.6291351], [9.4396095, 42.629335], [9.4396664, 42.6293683], [9.4396603, 42.6295085], [9.4396633, 42.6295403], [9.4396712, 42.6295472], [9.4396756, 42.629551]], ""type"": ""LineString""}"
En exploitation;42.629036331450536, 9.43886893023737;"{""coordinates"": [[9.4389064, 42.6290103], [9.4389086, 42.6290282], [9.4388974, 42.6290379], [9.4388177, 42.6290428], [9.4388123, 42.6290431]], ""type"": ""LineString""}"
En exploitation;42.59351868350717, 9.434123448503916;"{""coordinates"": [[9.4342075, 42.5934932], [9.4342045, 42.5934971], [9.4341771, 42.5935321], [9.4340624, 42.5935059], [9.4340439, 42.5935438]], ""type"": ""LineString""}"
En exploitation;42.59339553304331, 9.43354783455289;"{""coordinates"": [[9.4336272, 42.5933608], [9.4336231, 42.593364], [9.4335619, 42.5934118], [9.433537, 42.5934052], [9.433485, 42.5933914], [9.4334789, 42.5934128], [9.4334783, 42.5934148], [9.4334771, 42.5934192]], ""type"": ""LineString""}"
En exploitation;42.59357480142627, 9.434384950751978;"{""coordinates"": [[9.4342075, 42.5934932], [9.4342266, 42.5935449], [9.4345535, 42.5936173], [9.4345583, 42.5936032], [9.4345695, 42.5935776]], ""type"": ""LineString""}"
En exploitation;42.59595559089628, 9.43446046148562;"{""coordinates"": [[9.4344998, 42.5954753], [9.434534, 42.5954858], [9.4344559, 42.5960833], [9.4344089, 42.5962957], [9.4343944, 42.5963615], [9.4343679, 42.5963689], [9.4342883, 42.5963645]], ""type"": ""LineString""}"
En exploitation;42.595157945183935, 9.434536982039795;"{""coordinates"": [[9.4345353, 42.5951841], [9.4345409, 42.5951478], [9.4345331, 42.5951388], [9.4345272, 42.5951375]], ""type"": ""LineString""}"
En exploitation;42.62685424613734, 9.43132045092887;"{""coordinates"": [[9.4315055, 42.6268136], [9.4314793, 42.6267971], [9.4313142, 42.6268525], [9.4311502, 42.6269167], [9.4311518, 42.6269302], [9.4311522, 42.6269345], [9.4311524, 42.6269346]], ""type"": ""LineString""}"
En exploitation;42.62669192826386, 9.432080375795413;"{""coordinates"": [[9.4322871, 42.6266932], [9.4322608, 42.6266768], [9.4320664, 42.6266888], [9.4318974, 42.6267082], [9.4318943, 42.6267174], [9.4318882, 42.6267358]], ""type"": ""LineString""}"
En exploitation;42.62742673190526, 9.432058072066118;"{""coordinates"": [[9.432274, 42.6272815], [9.4322241, 42.6273424], [9.4320286, 42.6274538], [9.4318535, 42.6275278], [9.4318301, 42.627506], [9.4318261, 42.6275024]], ""type"": ""LineString""}"
En exploitation;42.62762906212478, 9.431279868054819;"{""coordinates"": [[9.4313716, 42.627702], [9.4313484, 42.627604], [9.431168, 42.6276332], [9.4311646, 42.6276018], [9.4311643, 42.6275996], [9.4311641, 42.6275973]], ""type"": ""LineString""}"
En exploitation;42.627387833264024, 9.433576329337603;"{""coordinates"": [[9.4333586, 42.6271826], [9.4333288, 42.6273152], [9.4337874, 42.6274684], [9.4338533, 42.6275096], [9.4339197, 42.6275291]], ""type"": ""LineString""}"
En exploitation;42.62813533558527, 9.433022642971837;"{""coordinates"": [[9.4331504, 42.627983], [9.4330861, 42.6280176], [9.4330224, 42.6281028], [9.4329635, 42.6282329], [9.4329495, 42.6283241]], ""type"": ""LineString""}"
En exploitation;42.62856724847101, 9.433047234812074;"{""coordinates"": [[9.4329495, 42.6283241], [9.4329909, 42.6284752], [9.4330679, 42.6286149], [9.4331468, 42.6287727], [9.4331626, 42.6287717], [9.4331833, 42.6287705]], ""type"": ""LineString""}"
En exploitation;42.62768729982974, 9.434607917401864;"{""coordinates"": [[9.4342086, 42.6276231], [9.4342642, 42.6275745], [9.4348717, 42.627754], [9.4349536, 42.6278302], [9.4349223, 42.6278773]], ""type"": ""LineString""}"
En exploitation;42.62798165147177, 9.434760510762883;"{""coordinates"": [[9.4349223, 42.6278773], [9.4348258, 42.6279592], [9.4346284, 42.6280526], [9.4345936, 42.6280308], [9.4345889, 42.6280279]], ""type"": ""LineString""}"
En exploitation;42.58082538428206, 9.425379760132584;"{""coordinates"": [[9.4253645, 42.5809094], [9.4253708, 42.5808512], [9.4253688, 42.5808333], [9.4253638, 42.5807884], [9.425372, 42.5807879], [9.4254367, 42.580784]], ""type"": ""LineString""}"
En exploitation;42.62874469702594, 9.433916533303417;"{""coordinates"": [[9.4339145, 42.6285535], [9.4339591, 42.6285841], [9.4339228, 42.6286895], [9.4339199, 42.6287163], [9.4339001, 42.6289028], [9.4338495, 42.6289262], [9.4338481, 42.6289269], [9.4338443, 42.6289285]], ""type"": ""LineString""}"
En exploitation;42.580936832493215, 9.425409581592657;"{""coordinates"": [[9.4254547, 42.5809642], [9.4254496, 42.5809618], [9.4253688, 42.5809114], [9.4253645, 42.5809094]], ""type"": ""LineString""}"
En exploitation;42.62756230837824, 9.43438318554334;"{""coordinates"": [[9.4339899, 42.6274198], [9.4340052, 42.627446], [9.4347502, 42.6276774], [9.4347808, 42.6276629], [9.4347877, 42.6276598]], ""type"": ""LineString""}"
En exploitation;42.58094288239473, 9.42900976664034;"{""coordinates"": [[9.4287197, 42.5814121], [9.4286718, 42.5812669], [9.4286774, 42.5812415], [9.4287947, 42.5811196], [9.428886, 42.5809701], [9.4289969, 42.5808433], [9.4292357, 42.5807019], [9.4293968, 42.580692], [9.429503, 42.5807182], [9.4295248, 42.5807088], [9.4295338, 42.580705]], ""type"": ""LineString""}"
En exploitation;42.6284432395388, 9.434145970589844;"{""coordinates"": [[9.4341539, 42.6284498], [9.4341492, 42.6284457], [9.4341438, 42.6284418], [9.4341382, 42.6284365]], ""type"": ""LineString""}"
