Site;Commune;Type;Puiss_Unit;Nb_Groupe;Puissance Totale (mW);Exploitant;Date
Sovenzia;Calacuccia;Hydraulique / barrage;15.3;1;15.3;EDF;1971
Calzola (pont de);Casalabriva;Hydraulique au fil de l eau;0.4;1;0.4;SNC Acquaviva;nov-10
Sartene;Sartène;Hydraulique au fil de l eau;0.0;0;0.6;;août-02
Valle di Rostino;Valle-di-Rostino;Hydraulique au fil de l eau;0.0;0;1.5;;avr-99
Asco;Asco;Hydraulique au fil de l eau;0.0;0;5.4;;avr-99
Tolla;Tolla;Hydraulique / barrage;15.6;1;15.6;EDF;1961
Ersa;Ersa;Eolien;0.0;0;7.8;;2003
Lucciana;Lucciana;TAC;25.0;3;75.0;EDF;1972, 1974 et 1993
SARCO;Bonifacio;Interconnexion;0.0;0;90.0;Terna;2006
Sampolo;Lugo-di-Nazza;Hydraulique / barrage;43.0;1;43.0;EDF;1991
Soccia;Soccia;Hydraulique au fil de l eau;0.0;0;0.8;;fevrier 1987
Lucciana;Lucciana;Hydraulique au fil de l eau;0.0;0;1.0;;avr-04
Castirla;Castirla;Hydraulique / barrage;28.4;1;28.5;EDF;1968-1971
Soccia;Soccia;Hydraulique au fil de l eau;0.0;0;1.1;;decembre 1998
Calenzana;Calenzana;Eolien;0.0;0;6.0;;2007
Pont de Vanna;Ocana;Hydraulique / barrage;8.6;1;8.6;EDF;1995
Bocognano;Bocognano;Hydraulique au fil de l eau;0.0;0;2.1;;oct-97
Olivese;Olivese;Hydraulique au fil de l eau;0.0;0;1.5;;déc-05
Tallone;Tallone;Biogaz;0.0;0;1.7;;avr-09
Giuncaggio;Giuncaggio;Hydraulique au fil de l eau;0.0;0;2.1;;mars-03
Corscia;Corscia;Hydraulique / barrage;13.0;1;13.0;EDF;1971
Asco 2;Asco;Hydraulique au fil de l eau;0.0;0;0.0;;avr-99
Vazzio;Ajaccio;Diesel;18.9;7;132.3;EDF;1981/1988
Lucciana;Lucciana;TAC;40.0;1;40.0;EDF;nov-08
Quenza;Quenza;Hydraulique au fil de l eau;0.0;0;0.7;;avr-04
Lucciana;Lucciana;Diesel;10.9;5;54.5;EDF;1973-1978
SACOI;Lucciana;Interconnexion;0.0;0;50.0;Terna;Station conversion :1986
Ocana;Ocana;Hydraulique / barrage;15.1;1;15.1;EDF;1961, 1965
Rogliano;Rogliano;Eolien;0.0;0;4.2;;2003
Asco 3;Asco;Hydraulique au fil de l eau;0.0;0;0.0;;avr-99
Cargiaca;Cargiaca;Hydraulique au fil de l eau;0.0;0;3.5;;avr-03
San-Giuliano;San-Giuliano;Hydraulique au fil de l eau;0.0;0;1.5;;mars-04
Zicavo;Zicavo;Hydraulique au fil de l eau;2.5;1;2.5;SAS Centrale hydroélectrique de Zicavo;févr-11
