ID;Opérateur;SUP_ID;Système;Mise en service déclaré;STA_NM_DPT;CODE_INSEE;Technologie;DATE_MAJ;sta_nm_anfr;nat_id;sup_nm_haut;tpo_id;Adresse;Adresse 1;Adresse 2;Adresse 3;Code postal;Code INSEE;coordonnees;Coordonnées;Statut
56;BOUYGUES TELECOM;26987;5G NR 2100;2024-09-18;02A;2A212;5G;2026-03-19T15:15:24;02A2750154;23;18;72;San Léonardo;Près station de pompage;;;20115;2A212;"42.255 , 8.667777777777777";42°15'18''N 8°40'4''E;Techniquement opérationnel
57;BOUYGUES TELECOM;26987;5G NR 3500;2024-09-18;02A;2A212;5G;2026-03-19T15:15:24;02A2750154;23;18;72;San Léonardo;Près station de pompage;;;20115;2A212;"42.255 , 8.667777777777777";42°15'18''N 8°40'4''E;Techniquement opérationnel
58;BOUYGUES TELECOM;26987;GSM 900;2016-05-24;02A;2A212;2G;2026-03-19T15:15:24;02A2750154;23;18;72;San Léonardo;Près station de pompage;;;20115;2A212;"42.255 , 8.667777777777777";42°15'18''N 8°40'4''E;En service
59;BOUYGUES TELECOM;26987;LTE 1800;2016-05-24;02A;2A212;4G;2026-03-19T15:15:24;02A2750154;23;18;72;San Léonardo;Près station de pompage;;;20115;2A212;"42.255 , 8.667777777777777";42°15'18''N 8°40'4''E;En service
60;BOUYGUES TELECOM;26987;LTE 2100;2024-09-18;02A;2A212;4G;2026-03-19T15:15:24;02A2750154;23;18;72;San Léonardo;Près station de pompage;;;20115;2A212;"42.255 , 8.667777777777777";42°15'18''N 8°40'4''E;En service
61;BOUYGUES TELECOM;26987;LTE 2600;2018-10-26;02A;2A212;4G;2026-03-19T15:15:24;02A2750154;23;18;72;San Léonardo;Près station de pompage;;;20115;2A212;"42.255 , 8.667777777777777";42°15'18''N 8°40'4''E;En service
62;BOUYGUES TELECOM;26987;LTE 700;2024-09-18;02A;2A212;4G;2026-03-19T15:15:24;02A2750154;23;18;72;San Léonardo;Près station de pompage;;;20115;2A212;"42.255 , 8.667777777777777";42°15'18''N 8°40'4''E;En service
63;BOUYGUES TELECOM;26987;LTE 800;2016-05-24;02A;2A212;4G;2026-03-19T15:15:24;02A2750154;23;18;72;San Léonardo;Près station de pompage;;;20115;2A212;"42.255 , 8.667777777777777";42°15'18''N 8°40'4''E;En service
64;BOUYGUES TELECOM;26987;UMTS 900;2016-05-24;02A;2A212;3G;2026-03-19T15:15:24;02A2750154;23;18;72;San Léonardo;Près station de pompage;;;20115;2A212;"42.255 , 8.667777777777777";42°15'18''N 8°40'4''E;En service
1756;BOUYGUES TELECOM;334441;GSM 900;2007-06-13;02A;2A006;2G;2026-03-19T15:15:24;02A2750112;26;10;65;A CAMARILLA;CHEM DE FUSSAGLIOLE;;;20167;2A006;"41.97416666666667 , 8.741388888888888";41°58'27''N 8°44'29''E;En service
1757;BOUYGUES TELECOM;334441;LTE 1800;2018-03-19;02A;2A006;4G;2026-03-19T15:15:24;02A2750112;26;10;65;A CAMARILLA;CHEM DE FUSSAGLIOLE;;;20167;2A006;"41.97416666666667 , 8.741388888888888";41°58'27''N 8°44'29''E;En service
1758;BOUYGUES TELECOM;334441;LTE 2100;2016-09-22;02A;2A006;4G;2026-03-19T15:15:24;02A2750112;26;10;65;A CAMARILLA;CHEM DE FUSSAGLIOLE;;;20167;2A006;"41.97416666666667 , 8.741388888888888";41°58'27''N 8°44'29''E;En service
1759;BOUYGUES TELECOM;334441;LTE 2600;2020-10-27;02A;2A006;4G;2026-03-19T15:15:24;02A2750112;26;10;65;A CAMARILLA;CHEM DE FUSSAGLIOLE;;;20167;2A006;"41.97416666666667 , 8.741388888888888";41°58'27''N 8°44'29''E;En service
1760;BOUYGUES TELECOM;334441;LTE 800;2016-09-21;02A;2A006;4G;2026-03-19T15:15:24;02A2750112;26;10;65;A CAMARILLA;CHEM DE FUSSAGLIOLE;;;20167;2A006;"41.97416666666667 , 8.741388888888888";41°58'27''N 8°44'29''E;En service
1761;BOUYGUES TELECOM;334441;UMTS 900;2016-09-21;02A;2A006;3G;2026-03-19T15:15:24;02A2750112;26;10;65;A CAMARILLA;CHEM DE FUSSAGLIOLE;;;20167;2A006;"41.97416666666667 , 8.741388888888888";41°58'27''N 8°44'29''E;En service
