Code poste;Nom poste;FONCTION;Etat;Tension (kV);departement
JONCS;JONCS;Poste de transformation;EN EXPLOITATION;63kV;Bouches-du-Rhône
JOUDR;JOUDREVILLE;Poste de transformation;EN EXPLOITATION;63kV;Meuse
LAMOT;LAMOTHE;Poste de transformation;EN EXPLOITATION;63kV;Gironde
LAVO5;LAVOISIER;Poste de transformation;EN EXPLOITATION;63kV;Haut-Rhin
SOLOM;SOLOMIAC;Poste de transformation;EN EXPLOITATION;63kV;Gers
SSAPC;ST-CHELY-D'APCHER (63KV);Poste de transformation;EN EXPLOITATION;63kV;Lozère
ZCES6;PIQUAGE A CESSIER (LE);Point de piquage;EN EXPLOITATION;225kV;Aisne
SSAVE;ST-AVERTIN;Poste de transformation;EN EXPLOITATION;90kV;Indre-et-Loire
LUTTE;LUTTERBACH;Poste de transformation;EN EXPLOITATION;225kV;Haut-Rhin
SSLAU;ST-LAURENT;Poste de transformation;EN EXPLOITATION;225kV;Ille-et-Vilaine
ZORGE;PIQUAGE ORGEIX (LIAISON MERE5Z31TEICH);Point de piquage;EN EXPLOITATION;63kV;Ariège
AUMAL;AUMALE;Poste de transformation;EN EXPLOITATION;90kV;Seine-Maritime
AVELO;AVELON;Poste de transformation;EN EXPLOITATION;63kV;Oise
BRAEK;BRAEK;Poste de transformation;EN EXPLOITATION;225kV;
BRENO;BRENOUILLE;Poste de transformation;EN EXPLOITATION;63kV;Oise
LODEV;LODEVE;Poste de transformation;EN EXPLOITATION;63kV;Hérault
M.LAN;MONTAGNY-LES-LANCHES;Poste de transformation;EN EXPLOITATION;400kV;Haute-Savoie
SSMR5;ST-MAURICE DE BEYNOST;Poste de transformation;EN EXPLOITATION;63kV;Rhône
SSROU;ST ETIENNE DU ROUVRAY;Poste de transformation;EN EXPLOITATION;225kV;Seine-Maritime
TARTA;TARTAS;Poste de transformation;EN EXPLOITATION;63kV;Landes
ZE.CR;PIQUAGE A ECOLE DE CRUGEY;Point de piquage;EN EXPLOITATION;63kV;Côte-d'Or
M.BRU;MAS-BRUNO;Poste de transformation;EN EXPLOITATION;225kV;Pyrénées-Orientales
LONG5;LONGUYON;Poste de transformation;EN EXPLOITATION;63kV;Meurthe-et-Moselle
LANDR;LANDRES;Poste de transformation;EN EXPLOITATION;225kV;Meuse
LAZER;LAZER;Poste de transformation;EN EXPLOITATION;63kV;Hautes-Alpes
LEGUG;LEGUGNON;Poste de transformation;EN EXPLOITATION;63kV;Pyrénées-Atlantiques
ISSEL;ISSEL;Poste de transformation;EN EXPLOITATION;400kV;Aude
LEVRO;LEVROUX;Poste de transformation;EN EXPLOITATION;90kV;Indre
BOEGE;BOEGE;Poste de transformation;EN EXPLOITATION;63kV;Haute-Savoie
BREAL;BREAL;Poste de transformation;EN EXPLOITATION;90kV;Ille-et-Vilaine
BROMM;BROMMAT;Poste de transformation;EN EXPLOITATION;400kV;Aveyron
BXTO5;BEAUTOR (POSTE);Poste de transformation;EN EXPLOITATION;225kV;Aisne
RIVEN;RIVENEUVE;Poste de transformation;EN EXPLOITATION;225kV;Ariège
