slug,name,commune_nom,old_lat,old_lon,new_lat,new_lon,distance_m,confiance,n_sources,sources_used,inter_max_m,osm_match,wikidata_match,ign_match,applied,pieve_declared,pieve_geocoded,pieve_concordant,doyenne_declared,doyenne_geocoded,doyenne_concordant,note
barcaggio,Barcaggio menhirs,Ersa,42.973,9.415,43.00455,9.40225,3658.2,FAIBLE,1,ign,0.0,,,"43.00455,9.40225",,pieve_rogliano,pieve_rogliano,True,doyenne_du_cap,doyenne_du_cap,True,
caporalino,Caporalino,Castello-di-Rostino,42.392,9.225,42.38081,9.20944,1783.9,FAIBLE,3,osm+wikidata+ign,13271.0,"42.38081,9.19141","42.37833,9.20944","42.47685,9.28740",,pieve_rostino,pieve_talcini,False,doyenne_cortenais,doyenne_cortenais,True,
casa_di_u_banditu,Casa di u Banditu,Saint-Florent,42.725,9.16,,,,ABSENT,0,,0.0,,,,,pieve_nebbiu,,,doyenne_du_cap,,,
cathedrale_du_nebbio,Cathédrale Sainte-Marie du Nebbio,Saint-Florent,42.6814,9.3025,42.67973,9.30597,339.0,FAIBLE,1,ign,0.0,,,"42.67973,9.30597",True,pieve_nebbiu,pieve_nebbiu,True,doyenne_du_cap,doyenne_du_cap,True,
citadelle_de_corte,Citadelle de Corte / Casteddu di Corti,Corte,42.305,9.149,42.30463,9.14889,42.0,FAIBLE,1,ign,0.0,,,"42.30463,9.14889",True,pieve_talcini,pieve_talcini,True,doyenne_cortenais,doyenne_cortenais,True,
couvent_saint_francois_de_pino,Couvent Saint-François de Pino,Pino,42.9447,9.3403,42.91202,9.34567,3660.1,MOYENNE,2,osm+wikidata+ign,13.3,"42.91202,9.34559","42.91202,9.34575","42.16220,8.79698",True,pieve_luri,pieve_luri,True,doyenne_du_cap,doyenne_du_cap,True,
menhir_nonza,Menhir de Nonza,Nonza,42.777,9.345,,,,ABSENT,0,,0.0,,,,,pieve_nonza,,,doyenne_du_cap,,,
menhir_sermano,Menhir de Sermano,Sermano,42.31,9.249,,,,ABSENT,0,,0.0,,,,,pieve_rogna,,,doyenne_cortenais,,,
menhirs_agriate,Menhirs d'Agriate,Saint-Florent,42.66,9.15,,,,ABSENT,0,,0.0,,,,,pieve_nebbiu,,,doyenne_du_cap,,,
mine_d_amiante_de_canari,Mine d'amiante de Canari,Canari,42.82,9.33,,,,ABSENT,0,,0.0,,,,,pieve_canari,,,doyenne_du_cap,,,
mine_de_magnetite_de_farinole,Mine de magnétite de Farinole,Farinole,42.73,9.332,,,,ABSENT,0,,0.0,,,,,pieve_nebbiu,,,doyenne_du_cap,,,
oratoire_santa_croce_bastia_haute_bastia_citadelle,Oratoire Santa Croce (Bastia haute) (Bastia citadelle),Bastia,42.66,9.192,,,,ABSENT,0,,0.0,,,,,pieve_bastia,,,doyenne_du_cap,,,
pinzu_a_vergine,Pinzu a Vergine,Barrettali,42.88,9.378,42.87968,9.37790,36.2,FAIBLE,1,osm,0.0,"42.87968,9.37790",,,,pieve_canari,pieve_canari,True,doyenne_du_cap,doyenne_du_cap,True,
