slug,name,commune_nom,old_lat,old_lon,new_lat,new_lon,distance_m,confiance,n_sources,sources_used,inter_max_m,osm_match,wikidata_match,ign_match,applied,pieve_declared,pieve_geocoded,pieve_concordant,doyenne_declared,doyenne_geocoded,doyenne_concordant,note
aleria_antique,Aléria antique,Aléria,42.105,9.513,42.12235,9.47205,3890.2,FAIBLE,2,osm+ign,7620.5,"42.10254,9.50975",,"42.14216,9.43435",,pieve_aleria,pieve_aleria,True,doyenne_plaine_orientale,doyenne_plaine_orientale,True,
castelnovo_bicchisano,Castelnovo (Bicchisano),Chisa,41.587,8.981,41.78957,8.97820,22526.5,FAIBLE,1,ign,0.0,,,"41.78957,8.97820",,pieve_verde,pieve_istria,False,doyenne_plaine_orientale,doyenne_prunelli_taravo_valinco,False,DIST_OVER_5000m
la_trinita_de_prunelli_di_fiumorbo,La Trinità de Prunelli-di-Fiumorbo,Prunelli-di-Fiumorbo,42.0011,9.3597,42.01081,9.31991,3460.6,FAIBLE,1,ign,0.0,,,"42.01081,9.31991",,pieve_fiumorbo,pieve_fiumorbo,True,doyenne_plaine_orientale,doyenne_plaine_orientale,True,
mine_de_matra_bravona,Mine de Matra (Bravona),Matra,42.417,9.29,,,,ABSENT,0,,0.0,,,,,pieve_bozio,,,doyenne_plaine_orientale,,,
notre_dame_de_l_assomption_cathedrale_d_ajaccio_ajaccio,Notre-Dame de l'Assomption (Cathédrale d'Ajaccio),Ajaccio,41.919,8.736,,,,ABSENT,0,,0.0,,,,,pieve_ajaccio,,,doyenne_ajaccio,,,
poggio_di_nazza,Poggio-di-Nazza,Poggio-di-Nazza,42.01,9.2,42.05551,9.29583,9394.2,MOYENNE,2,osm+wikidata+ign,155.8,"42.02882,9.29722","42.05583,9.29667","42.05519,9.29499",,pieve_fiumorbo,pieve_fiumorbo,True,doyenne_plaine_orientale,doyenne_plaine_orientale,True,DIST_OVER_5000m
san_cervone_valle_d_alesani,San Cervone (Valle-d'Alesani),Valle-d'Alesani,42.25,9.34,42.32781,9.41759,10751.3,FAIBLE,1,ign,0.0,,,"42.32781,9.41759",,pieve_alesani,pieve_alesani,True,doyenne_plaine_orientale,doyenne_plaine_orientale,True,DIST_OVER_5000m
san_giovanni_aleria_plaine,San Giovanni (Aléria plaine),Aléria,42.105,9.51,42.01762,9.34974,16415.0,FAIBLE,1,ign,0.0,,,"42.01762,9.34974",,pieve_aleria,pieve_fiumorbo,False,doyenne_plaine_orientale,doyenne_plaine_orientale,True,DIST_OVER_5000m
san_giovanni_antisanti,San Giovanni (Antisanti),Antisanti,42.16,9.34,42.14513,9.39282,4657.9,FAIBLE,2,osm+ign,8843.4,"42.12357,9.43789",,"42.16668,9.34775",,pieve_rogna,pieve_rogna,True,doyenne_plaine_orientale,doyenne_plaine_orientale,True,
san_giovanni_appietto,San Giovanni (Appietto),Appietto,42.0,8.78,41.99699,8.77593,474.2,MOYENNE,2,osm+ign,39.4,"41.99690,8.77613",,"41.99708,8.77572",True,pieve_ajaccio,pieve_ajaccio,True,doyenne_ajaccio,doyenne_ajaccio,True,
san_giovanni_de_san_giovanni_di_moriani,San Giovanni de San-Giovanni-di-Moriani,San-Giovanni-di-Moriani,42.4042,9.4378,42.37652,9.47033,4075.7,FAIBLE,2,osm+ign,995.0,"42.37366,9.46567",,"42.37938,9.47500",,pieve_moriani,pieve_moriani,True,doyenne_plaine_orientale,doyenne_plaine_orientale,True,
san_giovanni_ghisonaccia,San Giovanni (Ghisonaccia),Ghisonaccia,42.02,9.43,42.02379,9.40155,2387.6,FAIBLE,1,ign,0.0,,,"42.02379,9.40155",,pieve_aleria,pieve_aleria,True,doyenne_plaine_orientale,doyenne_plaine_orientale,True,
san_giovanni_moriani_san_nicolao,San Giovanni (Moriani (San-Nicolao)),San-Nicolao,42.38,9.51,42.37938,9.47500,2876.0,FAIBLE,1,ign,0.0,,,"42.37938,9.47500",,pieve_moriani,pieve_moriani,True,doyenne_plaine_orientale,doyenne_plaine_orientale,True,
san_giovanni_novale,San Giovanni (Novale),Novale,42.27,9.41,42.01762,9.34974,28500.0,FAIBLE,1,ign,0.0,,,"42.01762,9.34974",,pieve_alesani,pieve_fiumorbo,False,doyenne_plaine_orientale,doyenne_plaine_orientale,True,DIST_OVER_5000m
san_giovanni_prunelli_di_fiumorbo,San Giovanni (Prunelli-di-Fiumorbo),Prunelli-di-Fiumorbo,42.05,9.4,42.01763,9.34966,5499.1,MOYENNE,2,osm+ign,12.6,"42.01764,9.34959",,"42.01762,9.34974",,pieve_fiumorbo,pieve_fiumorbo,True,doyenne_plaine_orientale,doyenne_plaine_orientale,True,DIST_OVER_5000m
san_giovanni_san_nicolao_interieur,San Giovanni (San-Nicolao intérieur),San-Nicolao,42.33,9.46,42.37007,9.49655,5373.7,FAIBLE,1,ign,0.0,,,"42.37007,9.49655",,pieve_moriani,pieve_moriani,True,doyenne_plaine_orientale,doyenne_plaine_orientale,True,DIST_OVER_5000m
san_giovanni_solaro,San Giovanni (Solaro),Solaro,41.87,9.35,41.91318,8.87122,39920.2,FAIBLE,1,ign,0.0,,,"41.91318,8.87122",,pieve_verde,pieve_ornano,False,doyenne_plaine_orientale,doyenne_prunelli_taravo_valinco,False,DIST_OVER_5000m
san_giovanni_tallone,San Giovanni (Tallone),Tallone,42.31,9.52,41.94777,9.20605,47881.6,FAIBLE,2,osm+ign,73079.7,"42.21096,9.47060",,"41.68457,8.94150",,pieve_rogna,pieve_verde,False,doyenne_plaine_orientale,doyenne_prunelli_taravo_valinco,False,DIST_OVER_5000m
san_martino_ghisoni_haute,San Martino (Ghisoni haute),Ghisoni,42.078,9.29,42.73130,9.45126,73840.4,FAIBLE,1,ign,0.0,,,"42.73130,9.45126",,pieve_ghisoni,pieve_brando,False,doyenne_plaine_orientale,doyenne_du_cap,False,DIST_OVER_5000m
san_martinu_serra_di_fiumorbo,San Martinu (Serra-di-Fiumorbo),Serra-di-Fiumorbo,41.99,9.38,41.97269,9.28670,7948.2,FAIBLE,1,ign,0.0,,,"41.97269,9.28670",,pieve_fiumorbo,pieve_fiumorbo,True,doyenne_plaine_orientale,doyenne_plaine_orientale,True,DIST_OVER_5000m
