slug,name,commune_nom,old_lat,old_lon,new_lat,new_lon,distance_m,confiance,n_sources,sources_used,inter_max_m,osm_match,wikidata_match,ign_match,applied,pieve_declared,pieve_geocoded,pieve_concordant,doyenne_declared,doyenne_geocoded,doyenne_concordant,note
alignement_montegrosso,Alignement de Montegrosso,Montegrosso,42.608,8.869,42.53575,8.85147,8160.7,FAIBLE,1,ign,0.0,,,"42.53575,8.85147",,pieve_balagne,pieve_balagne,True,doyenne_balagne,doyenne_balagne,True,DIST_OVER_5000m
basilique_d_orezza_ruines_piedicroce,Basilique d'Orezza (ruines) (Piedicroce),Piedicroce,42.358,9.395,,,,ABSENT,0,,0.0,,,,,pieve_orezza,,,doyenne_du_golo,,,
campanile_san_pancrazio_castellare_di_casinca,San Pancrazio de Castellare-di-Casinca,Castellare-di-Casinca,42.5128,9.4783,42.46936,9.47980,4831.4,FAIBLE,2,osm+ign,990.4,"42.47067,9.48558",,"42.46806,9.47403",,pieve_casinca,pieve_casinca,True,doyenne_du_golo,doyenne_du_golo,True,
casa_di_l_orca,Casa di l'Orca dolmen,Santo-Pietro-di-Tenda,42.666,9.261,42.66192,9.22994,2579.8,FAIBLE,1,ign,0.0,,,"42.66192,9.22994",,pieve_nebbiu,pieve_nebbiu,True,doyenne_du_golo,doyenne_du_golo,True,
casteddu_lozari,Casteddu di Lozari,Belgodère,42.56,8.87,42.63363,9.01686,14544.3,FAIBLE,1,ign,0.0,,,"42.63363,9.01686",,pieve_balagne,pieve_balagne,True,doyenne_balagne,doyenne_balagne,True,DIST_OVER_5000m
cathedrale_saint_jean_baptiste_de_calvi,Cathédrale Saint-Jean-Baptiste de Calvi,Calvi,42.5658,8.7569,42.56089,8.77520,1595.3,FAIBLE,2,osm+ign,2898.1,"42.56830,8.76065",,"42.55347,8.78975",,pieve_balagne,,?,doyenne_balagne,,?,
couvent_d_orezza,Couvent d'Orezza,Piedicroce,42.3275,9.3611,42.38190,9.36583,6061.5,FAIBLE,1,wikidata,0.0,,"42.38190,9.36583",,,pieve_orezza,pieve_orezza,True,doyenne_du_golo,doyenne_du_golo,True,DIST_OVER_5000m
couvent_sant_antoni_de_calvi,Couvent Sant'Antoni de Calvi,Calvi,42.5644,8.7572,41.98226,8.79685,64813.1,FAIBLE,1,ign,0.0,,,"41.98226,8.79685",,pieve_balagne,pieve_mezzana,False,doyenne_balagne,doyenne_ajaccio,False,DIST_OVER_5000m
la_canonica,La Canonica,Lucciana,42.5267,9.4669,42.53924,9.49536,2717.1,MOYENNE,2,osm+wikidata+ign,21.3,"42.53931,9.49544","42.53917,9.49528","42.53956,9.46378",True,pieve_mariana,pieve_mariana,True,doyenne_du_golo,doyenne_du_golo,True,
la_canonica_santa_maria_assunta_lucciana_mariana,La Canonica (Santa Maria Assunta) (Lucciana/Mariana),Lucciana,42.465,9.452,42.84490,9.33066,43392.3,FAIBLE,1,ign,0.0,,,"42.84490,9.33066",,pieve_mariana,pieve_canari,False,doyenne_du_golo,doyenne_du_cap,False,DIST_OVER_5000m
