slug,name,commune_nom,old_lat,old_lon,new_lat,new_lon,distance_m,confiance,n_sources,sources_used,inter_max_m,osm_match,wikidata_match,ign_match,applied,pieve_declared,pieve_geocoded,pieve_concordant,doyenne_declared,doyenne_geocoded,doyenne_concordant,note
alignement_figari,Alignement de Figari,Figari,41.498,9.108,,,,ABSENT,0,,0.0,,,,,pieve_freto,,,doyenne_extreme_sud,,,
alo_bisuje,Alo Bisuje (casteddu),Sartène,41.613,8.8987,41.61516,8.94388,3763.3,FAIBLE,2,osm+ign,7507.9,"41.61252,8.89886",,"41.61780,8.98889",,pieve_sartene,pieve_sartene,True,doyenne_extreme_sud,doyenne_extreme_sud,True,RETRY_VARIANT:Alo Bisuje
appazu,Appazu,Sartène,41.546,8.876,41.54504,8.87515,128.1,MOYENNE,2,osm+wikidata+ign,279.5,"41.54618,8.87586","41.54390,8.87444","41.58584,8.99619",True,pieve_sartene,pieve_sartene,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
bizzicu_rossu,Bizzicu Rossu dolmen,Sartène,41.6014,8.8795,,,,ABSENT,0,,0.0,,,,,pieve_sartene,,,doyenne_extreme_sud,,,
bocca_di_a_pila,Bocca di a Pila,Sartène,41.54,8.93,41.54074,8.94429,1192.5,FAIBLE,1,ign,0.0,,,"41.54074,8.94429",,pieve_sartene,pieve_sartene,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
bonifacio_remparts,Bonifacio remparts,Bonifacio,41.387,9.159,41.38764,9.15949,81.7,FAIBLE,1,ign,0.0,,,"41.38764,9.15949",True,pieve_bonifacio,pieve_bonifacio,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
cardiccia,Cardiccia dolmen,Sartène,41.5582,8.9412,41.55781,8.94059,66.5,FAIBLE,1,osm,0.0,"41.55781,8.94059",,,,pieve_sartene,pieve_sartene,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
cargese_grec_latin,Les deux églises de Cargèse,Cargèse,42.1336,8.5947,42.15155,8.59304,2000.9,FAIBLE,1,ign,0.0,,,"42.15155,8.59304",,pieve_vico,pieve_vico,True,doyenne_piana_vico_sari,doyenne_piana_vico_sari,True,
casteddu_caleca,Casteddu di Caleca,Sartène,41.655,8.965,41.48463,9.06415,20662.6,FAIBLE,1,ign,0.0,,,"41.48463,9.06415",,pieve_sartene,pieve_freto,False,doyenne_extreme_sud,doyenne_extreme_sud,True,DIST_OVER_5000m
castellu_araghju,Castellu d'Araghju,San-Gavino-di-Carbini,41.575,9.245,41.64794,9.26218,8234.9,MOYENNE,2,osm+wikidata+ign,27.6,"41.64782,9.26214","41.64806,9.26222","41.65631,9.27969",,pieve_carbini,pieve_carbini,True,doyenne_extreme_sud,doyenne_extreme_sud,True,DIST_OVER_5000m
ciutulaghja,Ciutulaghja,Carbini,41.721,9.113,41.83964,8.91626,20980.0,FAIBLE,2,osm+ign,53815.4,"42.01181,8.68802",,"41.66746,9.14449",,pieve_carbini,pieve_ornano,False,doyenne_extreme_sud,doyenne_prunelli_taravo_valinco,False,DIST_OVER_5000m
cucuruzzu_capula,Cucuruzzu / Capula,Levie,41.7172,9.1287,41.70850,9.12617,990.5,FAIBLE,2,osm+ign,2211.7,"41.71826,9.12867",,"41.69873,9.12367",True,pieve_carbini,pieve_carbini,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
dolmen_fontanaccia,Dolmen Fontanaccia,Sartène,41.5296,8.9183,41.52835,8.91787,143.4,MOYENNE,2,osm+ign,256.7,"41.52949,8.91816",,"41.52722,8.91759",True,pieve_sartene,pieve_sartene,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
guagno_les_bains,Guagno-les-Bains,Guagno,42.157,8.894,42.17144,8.92234,2834.5,FAIBLE,2,osm+ign,5190.3,"42.17471,8.89116",,"42.16816,8.95352",,pieve_sorroinsu,pieve_sorroinsu,True,doyenne_piana_vico_sari,doyenne_piana_vico_sari,True,
lion_de_roccapina,Lion de Roccapina,Sartène,41.498,8.93,41.49748,8.93231,201.1,MOYENNE,2,osm+wikidata+ign,320.4,"41.49776,8.93043","41.49720,8.93420","41.51549,8.94961",True,pieve_sartene,pieve_sartene,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
manzavinu,Manzavinu alignement,Sartène,41.58,8.91,41.62048,8.98009,7363.9,FAIBLE,1,ign,0.0,,,"41.62048,8.98009",,pieve_sartene,pieve_sartene,True,doyenne_extreme_sud,doyenne_extreme_sud,True,DIST_OVER_5000m
menhir_casaglione,Menhir de Casaglione,Casaglione,42.16,8.72,42.06816,8.78834,11664.5,FAIBLE,1,ign,0.0,,,"42.06816,8.78834",,pieve_cinarca,pieve_cinarca,True,doyenne_piana_vico_sari,doyenne_piana_vico_sari,True,DIST_OVER_5000m
pacciunituli,Pacciunituli,San-Gavino-di-Carbini,41.724,9.168,41.72457,9.16630,154.8,MOYENNE,2,osm+wikidata+ign,249.9,"41.72442,9.16779","41.72472,9.16481","41.68704,9.20062",True,pieve_carbini,pieve_carbini,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
pastini,Pastini cercle de pierres,Sartène,41.5527,8.9347,,,,ABSENT,0,,0.0,,,,,pieve_sartene,,,doyenne_extreme_sud,,,
petra_pinzuta,Petra Pinzuta,Sartène,41.622,8.988,41.67352,9.23268,21122.4,FAIBLE,2,osm+ign,21527.4,"41.68797,9.36083",,"41.65907,9.10454",,pieve_sartene,pieve_carbini,False,doyenne_extreme_sud,doyenne_extreme_sud,True,DIST_OVER_5000m
pont_de_pianella_ota,Pont de Pianella (Ota),Ota,42.268,8.744,42.25721,8.75237,1383.1,FAIBLE,2,osm+ign,1466.4,"42.25633,8.76120",,"42.25810,8.74354",True,pieve_vico,pieve_vico,True,doyenne_piana_vico_sari,doyenne_piana_vico_sari,True,
punta_campana,Punta Campana,Porto-Vecchio,41.62,9.01,41.54025,9.23882,20996.6,FAIBLE,2,osm+ign,7698.2,"41.54340,9.19276",,"41.53710,9.28487",,pieve_carbini,pieve_freto,False,doyenne_extreme_sud,doyenne_extreme_sud,True,DIST_OVER_5000m
saint_pancrace_de_vico,Couvent Saint-Pancrace de Vico,Vico,42.1672,8.7997,42.16099,8.80104,698.9,FAIBLE,1,ign,0.0,,,"42.16099,8.80104",True,pieve_vico,pieve_vico,True,doyenne_piana_vico_sari,doyenne_piana_vico_sari,True,
sainte_lucie_de_sainte_lucie_de_tallano,Sainte-Lucie de Sainte-Lucie-de-Tallano,Sainte-Lucie-de-Tallano,41.6844,9.0644,41.67874,9.07336,974.2,FAIBLE,2,osm+ign,4466.9,"41.69743,9.06348",,"41.66006,9.08323",True,pieve_tallano,pieve_tallano,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
sainte_marie_majeure_bonifacio,Sainte Marie Majeure Bonifacio,Bonifacio,41.3878,9.1583,41.39359,9.18852,2601.4,FAIBLE,2,osm+ign,5070.9,"41.38717,9.15935",,"41.40000,9.21768",,pieve_bonifacio,pieve_bonifacio,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
san_colombano_monacia_d_aullene_route,San Colombano (Monacia-d'Aullène route),Monacia-d'Aullène,41.57,8.968,42.76239,9.21739,134171.7,FAIBLE,2,osm+ign,47261.5,"42.57951,9.06996",,"42.94528,9.36482",,pieve_freto,,?,doyenne_extreme_sud,,?,DIST_OVER_5000m | RETRY_VARIANT:San Colombano
san_dominique_bonifacio_bonifacio,San Dominique (Bonifacio),Bonifacio,41.388,9.155,41.38695,9.15737,229.2,FAIBLE,1,ign,0.0,,,"41.38695,9.15737",True,pieve_bonifacio,pieve_bonifacio,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
san_dominique_bonifacio_remparts,San Dominique (Bonifacio remparts),Bonifacio,41.405,9.175,41.38764,9.15949,2324.2,FAIBLE,1,ign,0.0,,,"41.38764,9.15949",,pieve_bonifacio,pieve_bonifacio,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
san_giovanni_azzana,San Giovanni (Azzana),Azzana,42.12,8.96,42.01762,9.34974,34125.5,FAIBLE,1,ign,0.0,,,"42.01762,9.34974",,pieve_cruzini,pieve_fiumorbo,False,doyenne_piana_vico_sari,doyenne_plaine_orientale,False,DIST_OVER_5000m
