slug,name,commune_nom,old_lat,old_lon,new_lat,new_lon,distance_m,confiance,n_sources,sources_used,inter_max_m,osm_match,wikidata_match,ign_match,applied,pieve_declared,pieve_geocoded,pieve_concordant,doyenne_declared,doyenne_geocoded,doyenne_concordant,note
albitretu,Albitretu alignement,Olmeto,41.708,8.911,41.69829,8.90419,1218.4,FAIBLE,1,ign,0.0,,,"41.69829,8.90419",,pieve_istria,pieve_istria,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,
caldane_zevaco,Caldane (Zévaco),Zévaco,41.902,9.035,41.89254,9.04862,1541.8,FAIBLE,1,ign,0.0,,,"41.89254,9.04862",,pieve_verde,,?,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,
casteddu_bastelica,Casteddu de Bastelica,Bastelica,42.03,8.81,41.91777,8.92406,15641.4,FAIBLE,1,ign,0.0,,,"41.91777,8.92406",,pieve_ornano,pieve_ornano,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
castello_della_rocca,Castello della Rocca,Olmeto,41.86,9,41.70394,8.87702,20127.7,FAIBLE,1,ign,0.0,,,"41.70394,8.87702",,pieve_istria,pieve_istria,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
castidetta,Castidetta menhirs,Cozzano,41.95,9.31,41.93347,9.15401,13031.8,FAIBLE,1,ign,0.0,,,"41.93347,9.15401",,pieve_verde,pieve_verde,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
san_bartolomeo_serra_di_ferro,San Bartolomeo (Serra-di-Ferro),Serra-di-Ferro,41.845,8.91,41.72799,8.79942,15916.9,FAIBLE,1,ign,0.0,,,"41.72799,8.79942",,pieve_istria,pieve_istria,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
san_giovanni_bastelica,San Giovanni (Bastelica),Bastelica,42.06,8.93,41.91318,8.87122,17033.4,FAIBLE,1,ign,0.0,,,"41.91318,8.87122",,pieve_ornano,pieve_ornano,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
san_giovanni_bastelicaccia,San Giovanni (Bastelicaccia),Bastelicaccia,41.88,8.81,42.26344,9.12235,49825.7,FAIBLE,2,osm+ign,88181.2,"42.61371,9.37348",,"41.91318,8.87122",,pieve_ajaccio,pieve_talcini,False,doyenne_prunelli_taravo_valinco,doyenne_cortenais,False,DIST_OVER_5000m | RETRY_VARIANT:San Giovanni
san_giovanni_battista_azilone_ampaza,San Giovanni Battista (Azilone-Ampaza),Azilone-Ampaza,42.045,8.91,41.78788,9.02899,30238.4,FAIBLE,2,osm+ign,18928.3,"41.70470,9.05317",,"41.87106,9.00481",,pieve_cruzini,pieve_istria,False,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m | RETRY_VARIANT:San Giovanni Battista
san_giovanni_cozzano_bas,San Giovanni (Cozzano bas),Cozzano,41.862,9.088,41.91318,8.87122,18825.4,FAIBLE,1,ign,0.0,,,"41.91318,8.87122",,pieve_verde,pieve_ornano,False,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
san_giovanni_de_santa_maria_siche,San Giovanni de Santa-Maria-Siché,Santa-Maria-Siché,41.8736,9.0286,42.37481,9.47125,66624.4,FAIBLE,1,ign,0.0,,,"42.37481,9.47125",,pieve_ornano,pieve_moriani,False,doyenne_prunelli_taravo_valinco,doyenne_plaine_orientale,False,DIST_OVER_5000m
san_giovanni_sollacaro,San Giovanni (Sollacaro),Sollacaro,41.77,8.87,41.91318,8.87122,15920.9,FAIBLE,1,ign,0.0,,,"41.91318,8.87122",,pieve_istria,pieve_ornano,False,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
san_giuseppu_arbellara_haute,San Giuseppu (Arbellara haute),Arbellara,41.815,8.855,41.67143,8.91311,16676.3,MOYENNE,2,osm+ign,216.4,"41.67164,8.91439",,"41.67122,8.91184",,pieve_sartene,pieve_sartene,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m | RETRY_VARIANT:San Giuseppu
san_martinu_cozzano_haut,San Martinu (Cozzano haut),Cozzano,41.96,9.25,42.47777,9.49674,61053.5,FAIBLE,1,ign,0.0,,,"42.47777,9.49674",,pieve_verde,pieve_casinca,False,doyenne_prunelli_taravo_valinco,doyenne_du_golo,False,DIST_OVER_5000m
san_martinu_grosseto_prugna,San Martinu (Grosseto-Prugna),Grosseto-Prugna,41.85,8.92,41.87995,8.93588,3580.5,FAIBLE,1,ign,0.0,,,"41.87995,8.93588",,pieve_ornano,pieve_ornano,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,
san_martinu_zicavo,San Martinu (Zicavo),Zicavo,42.005,8.92,41.90482,9.12769,20470.9,FAIBLE,1,ign,0.0,,,"41.90482,9.12769",,pieve_verde,pieve_verde,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
san_martinu_zicavo_village,San Martinu (Zicavo village),Zicavo,41.888,9.133,41.90482,9.12769,1921.2,FAIBLE,1,ign,0.0,,,"41.90482,9.12769",,pieve_verde,pieve_verde,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,
san_nicolao_albitreccia,San Nicolao (Albitreccia),Albitreccia,41.82,8.975,41.87105,8.82332,13787.1,FAIBLE,1,ign,0.0,,,"41.87105,8.82332",,pieve_ornano,pieve_ornano,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
san_nicolao_coti_chiavari,San Nicolao (Coti-Chiavari),Coti-Chiavari,41.81,8.8,42.36885,9.49901,84785.2,MOYENNE,2,osm+wikidata+ign,436.4,"42.37065,9.50008","42.37500,9.52500","42.36706,9.49793",,pieve_ornano,pieve_moriani,False,doyenne_prunelli_taravo_valinco,doyenne_plaine_orientale,False,DIST_OVER_5000m | RETRY_VARIANT:San Nicolao
san_nicolao_cozzano,San Nicolao (Cozzano),Cozzano,41.98,9.3,42.36623,9.49771,45933.9,FAIBLE,1,ign,0.0,,,"42.36623,9.49771",,pieve_verde,pieve_moriani,False,doyenne_prunelli_taravo_valinco,doyenne_plaine_orientale,False,DIST_OVER_5000m
san_nicolao_petreto_bicchisano,San Nicolao (Petreto-Bicchisano),Petreto-Bicchisano,41.73,9.0,41.78910,8.97272,6950.0,FAIBLE,1,ign,0.0,,,"41.78910,8.97272",,pieve_istria,pieve_istria,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,DIST_OVER_5000m
