slug,name,commune_nom,old_lat,old_lon,new_lat,new_lon,distance_m,confiance,n_sources,sources_used,inter_max_m,osm_match,wikidata_match,ign_match,applied,pieve_declared,pieve_geocoded,pieve_concordant,doyenne_declared,doyenne_geocoded,doyenne_concordant,note
capula_torre,Capula torre,,41.735,9.1,,,,ABSENT,0,,0.0,,,,,,,,,,,
castellacciu_san_colombano,Castellacciu San Colombano,,42.967,9.425,42.41130,9.40884,61804.7,FAIBLE,1,ign,0.0,,,"42.41130,9.40884",,,pieve_ampugnani,False,,doyenne_du_golo,False,DIST_OVER_5000m
castello_d_istria,Castello d'Istria,,41.595,9.015,,,,ABSENT,0,,0.0,,,,,,,,,,,
castello_di_baricci,Castello di Baricci,,41.844,8.774,42.46433,9.31406,82096.1,FAIBLE,1,ign,0.0,,,"42.46433,9.31406",,,pieve_rostino,False,,doyenne_cortenais,False,DIST_OVER_5000m
castellu_d_itali,Castellu d'Itali,,41.547,8.952,42.23146,9.41474,85203.8,FAIBLE,1,ign,0.0,,,"42.23146,9.41474",,,pieve_rogna,False,,doyenne_plaine_orientale,False,DIST_OVER_5000m
castellu_di_bozzi_guitera,Castellu di Bozzi (Guitera),,41.9139,9.08667,,,,ABSENT,0,,0.0,,,,,,,,,,,
castellu_di_u_grecu,Castellu di u Grecu,,41.528,8.922,41.96717,8.73215,51310.5,FAIBLE,1,ign,0.0,,,"41.96717,8.73215",,,pieve_ajaccio,False,,doyenne_ajaccio,False,DIST_OVER_5000m
defile_de_lancone,Défilé de Lancône,,42.595,9.395,,,,ABSENT,0,,0.0,,,,,,,,,,,
diocese_d_ajaccio,Diocèse d'Ajaccio,,41.9192,8.7383,42.18810,9.06831,40452.8,FAIBLE,1,osm,0.0,"42.18810,9.06831",,,,,pieve_vivario,False,,doyenne_cortenais,False,DIST_OVER_5000m
diocese_d_aleria,Diocèse d'Aleria,,42.1142,9.5097,42.20551,9.34490,16958.7,FAIBLE,2,wikidata+ign,34314.3,,"42.11472,9.51333","42.29629,9.17647",,,pieve_rogna,False,,doyenne_cortenais,False,DIST_OVER_5000m
diocese_de_mariana,Diocèse de Mariana,,42.5267,9.4669,,,,ABSENT,0,,0.0,,,,,,,,,,,
diocese_de_sagone,Diocèse de Sagone,,42.1219,8.6892,42.02970,8.72915,10769.5,FAIBLE,2,wikidata+ign,20651.4,,"42.12000,8.70000","41.93940,8.75830",,,pieve_cinarca,False,,doyenne_piana_vico_sari,False,DIST_OVER_5000m
diocese_du_nebbio,Diocèse du Nebbio,,42.6814,9.3025,,,,ABSENT,0,,0.0,,,,,,,,,,,
lac_thermal_de_tora,Lac thermal de Tora,,41.781,9.069,,,,ABSENT,0,,0.0,,,,,,,,,,,
pietrapola_station_thermale,Pietrapola (station thermale),,42.057,9.388,,,,ABSENT,0,,0.0,,,,,,,,,,,
pont_de_ponte_novu,Pont de Ponte Novu,,42.485,9.28,42.18257,9.17867,34644.7,FAIBLE,2,osm+ign,69365.1,"41.87999,9.07649",,"42.48515,9.28085",,,pieve_venaco,False,,doyenne_cortenais,False,DIST_OVER_5000m
pont_de_zippitoli_disparu_2023,Pont de Zippitoli (disparu 2023),,41.929,8.994,,,,ABSENT,0,,0.0,,,,,,,,,,,
san_cipriano_sagone_basse,San Cipriano (Sagone basse),Sagone basse,42.11,8.675,,,,ABSENT,0,,0.0,,,,,,,,,,,
san_giovanni_serrabone,San Giovanni (Serrabone),Serrabone,42.432,9.332,42.01762,9.34974,46100.3,FAIBLE,1,ign,0.0,,,"42.01762,9.34974",,,pieve_fiumorbo,False,,doyenne_plaine_orientale,False,DIST_OVER_5000m
san_giovanni_vizzavona_bas,San Giovanni (Vizzavona bas),Vizzavona bas,42.268,9.065,,,,ABSENT,0,,0.0,,,,,,,,,,,
san_giovanni_vizzavona_village,San Giovanni (Vizzavona village),Vizzavona village,42.25,9.05,,,,ABSENT,0,,0.0,,,,,,,,,,,
san_giovanni_zeloso,San Giovanni (Zeloso),Zeloso,42.248,9.385,42.01762,9.34974,25781.8,FAIBLE,1,ign,0.0,,,"42.01762,9.34974",,,pieve_fiumorbo,False,,doyenne_plaine_orientale,False,DIST_OVER_5000m
san_giuliano_cuttoli_haute,San Giuliano (Cuttoli haute),Cuttoli haute,42.032,8.802,,,,ABSENT,0,,0.0,,,,,,,,,,,
san_petru_vallerustie_village,San Petru (Vallerustie village),Vallerustie village,42.395,9.305,,,,ABSENT,0,,0.0,,,,,,,,,,,
san_pietro_lozari,San Pietro (Lozari),Lozari,42.618,9.002,42.49244,9.35636,32208.3,FAIBLE,1,ign,0.0,,,"42.49244,9.35636",,,pieve_casacconi,False,,doyenne_du_golo,False,DIST_OVER_5000m
san_quilicu_castagniccia_opino,San Quilicu (Castagniccia-Opino),Castagniccia-Opino,42.38,9.408,,,,ABSENT,0,,0.0,,,,,,,,,,,
san_quilicu_prunete_village,San Quilicu (Prunete village),Prunete village,42.195,9.44,,,,ABSENT,0,,0.0,,,,,,,,,,,
sant_andria_menhirs,Sant Andria menhirs,,41.71,9.13,42.95753,9.41795,140723.6,FAIBLE,1,ign,0.0,,,"42.95753,9.41795",,,pieve_rogliano,False,,doyenne_du_cap,False,DIST_OVER_5000m
sant_appiano_fils_vico_golfe,Sant'Appiano fils (Vico golfe),Vico golfe,42.115,8.682,42.12043,8.68600,688.2,FAIBLE,1,ign,0.0,,,"42.12043,8.68600",,,pieve_vico,False,,doyenne_piana_vico_sari,False,
santa_maria_di_e_grazie_sagone_littoral,Santa Maria di e Grazie (Sagone littoral),Sagone littoral,42.118,8.68,,,,ABSENT,0,,0.0,,,,,,,,,,,
santa_maria_favone,Santa Maria (Favone),Favone,41.87,9.28,41.90815,9.12833,13251.9,FAIBLE,1,ign,0.0,,,"41.90815,9.12833",,,pieve_verde,False,,doyenne_prunelli_taravo_valinco,False,DIST_OVER_5000m
santa_maria_folelli,Santa Maria (Folelli),Folelli,42.535,9.5,42.04681,8.81305,78355.1,FAIBLE,1,ign,0.0,,,"42.04681,8.81305",,,pieve_cinarca,False,,doyenne_piana_vico_sari,False,DIST_OVER_5000m
santa_maria_moriani_plage_haute,Santa Maria (Moriani-Plage haute),Moriani-Plage haute,42.36,9.48,,,,ABSENT,0,,0.0,,,,,,,,,,,
santa_maria_pietrapola,Santa Maria (Pietrapola),Pietrapola,42.03,9.35,42.53900,9.18336,58234.8,FAIBLE,1,ign,0.0,,,"42.53900,9.18336",,,pieve_caccia,False,,doyenne_balagne,False,DIST_OVER_5000m
santa_maria_vizzavona,Santa Maria (Vizzavona),Vizzavona,42.24,9.06,42.16794,8.80106,22783.9,FAIBLE,1,ign,0.0,,,"42.16794,8.80106",,,pieve_vico,False,,doyenne_piana_vico_sari,False,DIST_OVER_5000m
sources_de_guitera,Sources de Guitera,,41.827,9.019,,,,ABSENT,0,,0.0,,,,,,,,,,,
sposata_menhir_penche,Sposata (menhir penché),,41.536,8.918,,,,ABSENT,0,,0.0,,,,,,,,,,,
stantara_d_apricciani,Stantara d'Apricciani,,42.1,8.72,42.15779,8.77992,8106.6,FAIBLE,2,wikidata+ign,1908.2,,"42.16408,8.78780","42.15150,8.77205",,,pieve_vico,False,,doyenne_piana_vico_sari,False,DIST_OVER_5000m
statue_menhir_santa_naria,Statue-menhir Santa Naria,,41.759,8.877,,,,ABSENT,0,,0.0,,,,,,,,,,,
statues_menhirs_de_sagone,Statues-menhirs de Sagone,,42.116,8.693,,,,ABSENT,0,,0.0,,,,,,,,,,,
thermes_de_baracci,Thermes de Baracci,,41.705,8.898,41.69288,8.91836,2161.5,FAIBLE,1,ign,0.0,,,"41.69288,8.91836",,,pieve_istria,False,,doyenne_prunelli_taravo_valinco,False,
timozzolo_menhirs,Timozzolo menhirs,,41.6087,8.8778,,,,ABSENT,0,,0.0,,,,,,,,,,,
tivulaggio_alignement,Tivulaggio alignement,,41.57,8.895,,,,ABSENT,0,,0.0,,,,,,,,,,,
tizzarella_menhirs,Tizzarella menhirs,,41.692,8.915,,,,ABSENT,0,,0.0,,,,,,,,,,,
torre_de_tozzu_torre_de_tusiu,Torre de Tozzu / Torre de Tusiu,,41.75,9.085,,,,ABSENT,0,,0.0,,,,,,,,,,,
tour_d_isolella_sette_navi,Tour d'Isolella (Sette Navi),,41.84656,8.76241,,,,ABSENT,0,,0.0,,,,,,,,,,,
tour_de_capitello_castelluccio,Tour de Capitello (Castelluccio),,41.908,8.774,41.91875,8.91592,11804.0,FAIBLE,1,ign,0.0,,,"41.91875,8.91592",,,pieve_ornano,False,,doyenne_prunelli_taravo_valinco,False,DIST_OVER_5000m
tour_de_capo_di_muro,Tour de Capo di Muro,,41.719,8.664,,,,ABSENT,0,,0.0,,,,,,,,,,,
tour_de_giraglia_ilot,Tour de Giraglia (îlot),,43.028,9.405,43.02659,9.40565,165.6,FAIBLE,1,ign,0.0,,,"43.02659,9.40565",,,,?,,,?,
tour_de_la_mortella,Tour de la Mortella,,42.7,9.268,42.71500,9.25694,1896.7,MOYENNE,2,osm+wikidata+ign,0.5,"42.71500,9.25694","42.71500,9.25694","42.58738,9.02208",True,,,?,,,?,
tour_de_turghiu_capo_rosso,Tour de Turghiu (Capo Rosso),,42.234,8.527,,,,ABSENT,0,,0.0,,,,,,,,,,,
tour_genoise_chiappa,Tour génoise Chiappa,,41.57,9.29,41.84612,8.99360,39345.5,FAIBLE,1,ign,0.0,,,"41.84612,8.99360",,,pieve_ornano,False,,doyenne_prunelli_taravo_valinco,False,DIST_OVER_5000m
