slug,name,commune_nom,old_lat,old_lon,new_lat,new_lon,distance_m,confiance,n_sources,sources_used,inter_max_m,osm_match,wikidata_match,ign_match,applied,pieve_declared,pieve_geocoded,pieve_concordant,doyenne_declared,doyenne_geocoded,doyenne_concordant,note
castellu_di_bozzi_guitera,Castellu di Bozzi (Guitera),,41.91390,9.08667,42.61168,9.35501,80670.7,FAIBLE,1,ign,0.0,,,"42.61168,9.35501",,,pieve_nebbiu,True,,doyenne_du_golo,True,RESCUE_REJECTED | VARIANT:Castellu di Bozzi
couvent_sant_antoni_de_calvi,Couvent Sant'Antoni de Calvi,Calvi,42.56440,8.75720,41.98226,8.79685,64813.1,FAIBLE,1,ign,0.0,,,"41.98226,8.79685",,pieve_balagne,pieve_mezzana,True,doyenne_balagne,doyenne_ajaccio,True,RESCUE_REJECTED_HOMONYM_pieve_decl=pieve_balagne_vs_geo=pieve_mezzana
menhir_sermano,Menhir de Sermano,Sermano,42.31,9.249,,,,ABSENT,0,,,,,,,pieve_rogna,,?,doyenne_cortenais,,?,RESCUE_ABSENT
mine_de_magnetite_de_farinole,Mine de magnétite de Farinole,Farinole,42.73,9.332,,,,ABSENT,0,,,,,,,pieve_nebbiu,,?,doyenne_du_cap,,?,RESCUE_ABSENT
san_giovanni_de_santa_maria_siche,San Giovanni de Santa-Maria-Siché,Santa-Maria-Siché,41.87360,9.02860,42.37481,9.47125,66624.4,FAIBLE,1,ign,0.0,,,"42.37481,9.47125",,pieve_ornano,pieve_moriani,True,doyenne_prunelli_taravo_valinco,doyenne_plaine_orientale,True,RESCUE_REJECTED_HOMONYM_pieve_decl=pieve_ornano_vs_geo=pieve_moriani
san_nicolao_pianello_bozio,San Nicolao (Pianello (Bozio)),Pianello,42.31200,9.26800,42.37338,9.51043,21061.0,FAIBLE,2,ign+osm,1804.7,"42.37065,9.50008",,"42.37611,9.52077",,pieve_bozio,pieve_moriani,True,doyenne_cortenais,doyenne_plaine_orientale,True,RESCUE_REJECTED_HOMONYM_pieve_decl=pieve_bozio_vs_geo=pieve_moriani
san_nicolao_sermano,San Nicolao (Sermano),Sermano,42.31000,9.24900,42.36623,9.49771,21377.1,FAIBLE,3,osm+ign+wikidata,22465.8,"42.31168,9.26542","42.37500,9.52500","42.36623,9.49771",,pieve_rogna,pieve_moriani,True,doyenne_cortenais,doyenne_plaine_orientale,True,RESCUE_REJECTED_HOMONYM_pieve_decl=pieve_rogna_vs_geo=pieve_moriani
santa_maria_carpineto,Santa Maria (Carpineto),Carpineto,42.33000,9.30000,41.95212,8.91021,52900.0,FAIBLE,2,ign+osm,20257.9,"41.87622,8.97793",,"42.02802,8.84249",,pieve_orezza,pieve_ornano,True,doyenne_cortenais,doyenne_prunelli_taravo_valinco,True,RESCUE_REJECTED_HOMONYM_pieve_decl=pieve_orezza_vs_geo=pieve_ornano
santa_maria_della_neve_grosseto_prugna_basse,Santa Maria della Neve (Grosseto-Prugna basse),Grosseto-Prugna,41.90500,8.79800,41.72247,8.98993,25786.4,FAIBLE,1,ign,0.0,,,"41.72247,8.98993",,pieve_ornano,pieve_sartene,True,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,True,RESCUE_REJECTED_HOMONYM_pieve_decl=pieve_ornano_vs_geo=pieve_sartene | VARIANT:Santa Maria della Neve
tour_d_erbalunga_brando,Tour d'Erbalunga (Brando),Brando,42.62700,9.49700,42.77360,9.47694,16383.4,HAUTE,3,osm+ign+wikidata,337.7,"42.77360,9.47699","42.77360,9.47694","42.77504,9.47336",True,pieve_brando,pieve_brando,True,doyenne_du_cap,doyenne_du_cap,True,RESCUE_OK
tour_d_omigna_cargese,Tour d'Omigna (Cargese),Cargèse,42.15500,8.55400,42.14646,8.55996,1069.2,MOYENNE,2,osm+ign+wikidata,14.8,"42.14652,8.55992","42.14640,8.56000","42.13411,8.59605",True,pieve_vico,pieve_vico,True,doyenne_piana_vico_sari,,?,RESCUE_OK
tour_de_capitello_castelluccio,Tour de Capitello (Castelluccio),,41.90800,8.77400,41.90424,8.79912,2120.8,MOYENNE,2,ign+osm+wikidata,12.2,"41.90429,8.79908","41.90420,8.79917","41.91875,8.91592",True,,pieve_ornano,True,,,?,RESCUE_OK
tour_de_capo_di_muro,Tour de Capo di Muro,,41.719,8.664,,,,ABSENT,0,,,,,,,,,?,,,?,RESCUE_ABSENT
tour_de_giraglia_ilot,Tour de Giraglia (îlot),,43.02800,9.40500,43.02690,9.40556,130.5,HAUTE,3,ign+osm+wikidata,47.1,"43.02698,9.40543","43.02690,9.40556","43.02659,9.40565",True,,,?,,,?,RESCUE_OK
tour_de_turghiu_capo_rosso,Tour de Turghiu (Capo Rosso),,42.23659,8.55210,42.23659,8.55210,0.5,MOYENNE,2,osm+wikidata,4.4,"42.23657,8.55208","42.23660,8.55212",,True,,pieve_vico,True,,doyenne_piana_vico_sari,True,RESCUE_OK | VARIANT:Tour de Turghiu
