slug,name,lat,lon,doyenne_declared,doyenne_real_geo,doyenne_mismatch,pieve_declared,pieve_real_geo,pieve_mismatch,in_corse_bbox,axe_corpus,note
aiguilles_de_bavella,Aiguilles de Bavella,41.79982,9.21484,,doyenne_extreme_sud,FALSE,,pieve_verde,FALSE,TRUE,patrimoine_naturel_sacre,
albitretu,Albitretu alignement,41.708,8.911,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,FALSE,pieve_istria,pieve_istria,FALSE,TRUE,megalithes,
aleria_antique,Aléria antique,42.105,9.513,doyenne_plaine_orientale,doyenne_plaine_orientale,FALSE,pieve_aleria,pieve_aleria,FALSE,TRUE,patrimoine_bati_remarquable,
alignement_figari,Alignement de Figari,41.498,9.108,doyenne_extreme_sud,doyenne_extreme_sud,FALSE,pieve_freto,pieve_freto,FALSE,TRUE,megalithes,
alignement_montegrosso,Alignement de Montegrosso,42.608,8.869,doyenne_balagne,doyenne_balagne,FALSE,pieve_balagne,pieve_balagne,FALSE,TRUE,megalithes,
alo_bisuje,Alo Bisuje (casteddu),41.613,8.8987,doyenne_extreme_sud,doyenne_extreme_sud,FALSE,pieve_sartene,pieve_sartene,FALSE,TRUE,megalithes,
appazu,Appazu,41.546,8.876,doyenne_extreme_sud,doyenne_extreme_sud,FALSE,pieve_sartene,pieve_sartene,FALSE,TRUE,megalithes,
barcaggio,Barcaggio menhirs,42.973,9.415,doyenne_du_cap,doyenne_du_cap,FALSE,pieve_rogliano,pieve_rogliano,FALSE,TRUE,megalithes,
barrage_alesani,Barrage Alesani,42.29833,9.485,doyenne_plaine_orientale,doyenne_plaine_orientale,FALSE,,pieve_campoloro,FALSE,TRUE,patrimoine_industriel,
barrage_de_calacuccia,Barrage Calacuccia,42.32944,9.02222,doyenne_cortenais,doyenne_cortenais,FALSE,,pieve_niolu,FALSE,TRUE,patrimoine_industriel,
barrage_du_rizzanese,Barrage du Rizzanese,41.73472,9.11444,,doyenne_extreme_sud,FALSE,,pieve_carbini,FALSE,TRUE,patrimoine_industriel,
barrage_padula,Barrage Padula,42.62806,9.32278,,doyenne_du_cap,FALSE,,pieve_nebbiu,FALSE,TRUE,patrimoine_industriel,
basilique_d_orezza_ruines_piedicroce,Basilique d'Orezza (ruines) (Piedicroce),42.358,9.395,doyenne_du_golo,doyenne_du_golo,FALSE,pieve_orezza,pieve_orezza,FALSE,TRUE,edifices_romans,
