slug,field,old_value,new_value
casa_di_u_banditu,doyenne_contemporain_slug,doyenne_du_cap,doyenne_du_golo
casteddu_bastelica,doyenne_contemporain_slug,doyenne_prunelli_taravo_valinco,doyenne_piana_vico_sari
casteddu_bastelica,pieve_slug,pieve_ornano,pieve_cinarca
casteddu_caleca,doyenne_contemporain_slug,doyenne_extreme_sud,doyenne_prunelli_taravo_valinco
castelnovo_bicchisano,doyenne_contemporain_slug,doyenne_plaine_orientale,doyenne_extreme_sud
castelnovo_bicchisano,pieve_slug,pieve_verde,pieve_sartene
castidetta,doyenne_contemporain_slug,doyenne_prunelli_taravo_valinco,doyenne_plaine_orientale
couvent_d_orezza,doyenne_contemporain_slug,doyenne_du_golo,doyenne_plaine_orientale
couvent_d_orezza,pieve_slug,pieve_orezza,pieve_alesani
menhirs_agriate,doyenne_contemporain_slug,doyenne_du_cap,doyenne_du_golo
mine_de_matra_bravona,doyenne_contemporain_slug,doyenne_plaine_orientale,doyenne_cortenais
mine_de_matra_bravona,pieve_slug,pieve_bozio,pieve_rostino
monte_cinto,doyenne_contemporain_slug,doyenne_du_golo,doyenne_cortenais
monte_genova,doyenne_contemporain_slug,doyenne_du_golo,doyenne_balagne
monte_genova,pieve_slug,pieve_casacconi,pieve_nebbiu
oratoire_santa_croce_bastia_haute_bastia_citadelle,doyenne_contemporain_slug,doyenne_du_cap,doyenne_du_golo
oratoire_santa_croce_bastia_haute_bastia_citadelle,pieve_slug,pieve_bastia,pieve_nebbiu
poggio_di_nazza,doyenne_contemporain_slug,doyenne_plaine_orientale,doyenne_prunelli_taravo_valinco
poggio_di_nazza,pieve_slug,pieve_fiumorbo,pieve_verde
san_andrea_piedicroce,doyenne_contemporain_slug,doyenne_du_golo,doyenne_plaine_orientale
san_andrea_piedicroce,pieve_slug,pieve_orezza,pieve_alesani
san_cervone_stazzona,doyenne_contemporain_slug,doyenne_cortenais,doyenne_du_golo
san_cervone_stazzona,pieve_slug,pieve_rogna,pieve_orezza
san_cervone_valle_d_alesani,doyenne_contemporain_slug,doyenne_plaine_orientale,doyenne_cortenais
san_cervone_valle_d_alesani,pieve_slug,pieve_alesani,pieve_rogna
san_cesario_casalta,doyenne_contemporain_slug,doyenne_du_golo,doyenne_plaine_orientale
san_cesario_casalta,pieve_slug,pieve_ampugnani,pieve_alesani
san_cesario_d_olmeta_olmeta_di_capocorso,doyenne_contemporain_slug,doyenne_du_cap,doyenne_du_golo
san_cesario_d_olmeta_olmeta_di_capocorso,pieve_slug,pieve_nonza,pieve_nebbiu
san_cesario_quercitello_piedicroce,doyenne_contemporain_slug,doyenne_du_golo,doyenne_cortenais
san_cesario_quercitello_piedicroce,pieve_slug,pieve_ampugnani,pieve_vallerustie
san_gavino_oletta,doyenne_contemporain_slug,doyenne_du_cap,doyenne_du_golo
san_giovanni_asco_village,doyenne_contemporain_slug,doyenne_cortenais,doyenne_balagne
san_giovanni_asco_village,pieve_slug,pieve_caccia,pieve_balagne
san_giovanni_bastelica,doyenne_contemporain_slug,doyenne_prunelli_taravo_valinco,doyenne_ajaccio
san_giovanni_bastelica,pieve_slug,pieve_ornano,pieve_celavo
san_giovanni_bastia_terra_vecchia,doyenne_contemporain_slug,doyenne_du_cap,doyenne_du_golo
san_giovanni_bastia_terra_vecchia,pieve_slug,pieve_bastia,pieve_mariana
san_giovanni_battista_azilone_ampaza,doyenne_contemporain_slug,doyenne_prunelli_taravo_valinco,doyenne_ajaccio
san_giovanni_battista_azilone_ampaza,pieve_slug,pieve_cruzini,pieve_celavo
san_giovanni_carcheto_brustico,doyenne_contemporain_slug,doyenne_du_golo,doyenne_plaine_orientale
san_giovanni_carcheto_brustico,pieve_slug,pieve_orezza,pieve_alesani
san_giovanni_de_san_giovanni_di_moriani,doyenne_contemporain_slug,doyenne_plaine_orientale,doyenne_du_golo
san_giovanni_de_san_giovanni_di_moriani,pieve_slug,pieve_moriani,pieve_ampugnani
san_giovanni_morosaglia_merusaglia,doyenne_contemporain_slug,doyenne_cortenais,doyenne_plaine_orientale
san_giovanni_morosaglia_merusaglia,pieve_slug,pieve_rostino,pieve_bozio
san_giovanni_nocario,doyenne_contemporain_slug,doyenne_du_golo,doyenne_plaine_orientale
san_giovanni_nocario,pieve_slug,pieve_orezza,pieve_bozio
san_lorenzo_de_ponte_leccia,doyenne_contemporain_slug,doyenne_extreme_sud,doyenne_cortenais
san_lorenzo_de_ponte_leccia,pieve_slug,pieve_carbini,pieve_rostino
san_martino_piazzole,doyenne_contemporain_slug,doyenne_du_golo,doyenne_cortenais
san_martino_piazzole,pieve_slug,pieve_giovellina,pieve_bozio
san_martinu_cozzano_haut,doyenne_contemporain_slug,doyenne_prunelli_taravo_valinco,doyenne_plaine_orientale
san_martinu_cozzano_haut,pieve_slug,pieve_verde,pieve_fiumorbo
san_martinu_tavera,doyenne_contemporain_slug,doyenne_ajaccio,doyenne_piana_vico_sari
san_martinu_tavera,pieve_slug,pieve_celavo,pieve_cruzini
san_martinu_ucciani,doyenne_contemporain_slug,doyenne_ajaccio,doyenne_piana_vico_sari
san_martinu_ucciani,pieve_slug,pieve_celavo,pieve_cruzini
san_martinu_zicavo,doyenne_contemporain_slug,doyenne_prunelli_taravo_valinco,doyenne_ajaccio
san_martinu_zicavo,pieve_slug,pieve_verde,pieve_mezzana
san_michele_castifao_caccia,doyenne_contemporain_slug,doyenne_cortenais,doyenne_balagne
san_michele_castifao_caccia,pieve_slug,pieve_caccia,pieve_balagne
san_nicolao_cozzano,doyenne_contemporain_slug,doyenne_prunelli_taravo_valinco,doyenne_plaine_orientale
san_nicolao_cozzano,pieve_slug,pieve_verde,pieve_fiumorbo
san_nicolao_pianello_bozio,doyenne_contemporain_slug,doyenne_plaine_orientale,doyenne_cortenais
san_nicolao_serra_di_scopamene,doyenne_contemporain_slug,doyenne_extreme_sud,doyenne_plaine_orientale
san_petru_bisinchi,doyenne_contemporain_slug,doyenne_cortenais,doyenne_du_golo
san_petru_bisinchi,pieve_slug,pieve_rostino,pieve_caccia
san_petru_canavaggia,doyenne_contemporain_slug,doyenne_du_golo,doyenne_cortenais
san_petru_canavaggia,pieve_slug,pieve_caccia,pieve_giovellina
san_petru_conca,doyenne_contemporain_slug,doyenne_extreme_sud,doyenne_plaine_orientale
san_petru_moltifao,doyenne_contemporain_slug,doyenne_cortenais,doyenne_balagne
san_petru_moltifao,pieve_slug,pieve_caccia,pieve_balagne
san_pietro_asco,doyenne_contemporain_slug,doyenne_cortenais,doyenne_balagne
san_pietro_bocognano,doyenne_contemporain_slug,doyenne_ajaccio,doyenne_piana_vico_sari
san_pietro_bocognano,pieve_slug,pieve_celavo,pieve_sorroinsu
san_pietro_cervione_basse,doyenne_contemporain_slug,doyenne_plaine_orientale,doyenne_du_golo
san_pietro_cervione_basse,pieve_slug,pieve_campoloro,pieve_casinca
san_pietro_letia,doyenne_contemporain_slug,doyenne_piana_vico_sari,doyenne_ajaccio
san_pietro_letia,pieve_slug,pieve_sorroinsu,pieve_celavo
san_pietro_penta_di_casinca,doyenne_contemporain_slug,doyenne_du_golo,doyenne_plaine_orientale
san_pietro_penta_di_casinca,pieve_slug,pieve_casinca,pieve_moriani
san_pietro_poggio_mezzana,doyenne_contemporain_slug,doyenne_du_golo,doyenne_plaine_orientale
san_pietro_poggio_mezzana,pieve_slug,pieve_tavagna,pieve_rogna
san_pietro_saliceto,doyenne_contemporain_slug,doyenne_cortenais,doyenne_du_golo
san_pietro_saliceto,pieve_slug,pieve_rostino,pieve_orezza
san_pietro_sampolo,doyenne_contemporain_slug,doyenne_prunelli_taravo_valinco,doyenne_plaine_orientale
san_pietro_santo_pietro_di_tenda,doyenne_contemporain_slug,doyenne_du_golo,doyenne_balagne
san_pietro_santo_pietro_di_tenda,pieve_slug,pieve_nebbiu,pieve_balagne
san_pietro_tavaco,doyenne_contemporain_slug,doyenne_ajaccio,doyenne_prunelli_taravo_valinco
san_pietro_tavaco,pieve_slug,pieve_mezzana,pieve_ajaccio
san_quilico_de_cambia,doyenne_contemporain_slug,doyenne_cortenais,doyenne_du_golo
san_quilico_de_cambia,pieve_slug,pieve_vallerustie,pieve_ampugnani
san_quilicu_pianello,doyenne_contemporain_slug,doyenne_plaine_orientale,doyenne_prunelli_taravo_valinco
san_quilicu_pianello,pieve_slug,pieve_bozio,pieve_verde
san_quilicu_pianottoli_haute,doyenne_contemporain_slug,doyenne_du_golo,doyenne_extreme_sud
san_quilicu_pianottoli_haute,pieve_slug,pieve_ampugnani,pieve_freto
san_quilicu_valle_di_rostino,doyenne_contemporain_slug,doyenne_cortenais,doyenne_du_golo
san_quilicu_valle_di_rostino,pieve_slug,pieve_rostino,pieve_orezza
san_quilicu_viggianello,doyenne_contemporain_slug,doyenne_prunelli_taravo_valinco,doyenne_extreme_sud
sant_andrea_belvedere_campomoro_haute,doyenne_contemporain_slug,doyenne_extreme_sud,doyenne_prunelli_taravo_valinco
sant_andrea_belvedere_campomoro_haute,pieve_slug,pieve_sartene,pieve_istria
santa_lucia_cauro,doyenne_contemporain_slug,doyenne_prunelli_taravo_valinco,doyenne_ajaccio
santa_lucia_cauro,pieve_slug,pieve_ornano,pieve_mezzana
santa_maria_assunta_campodonico,doyenne_contemporain_slug,doyenne_prunelli_taravo_valinco,doyenne_plaine_orientale
santa_maria_assunta_campodonico,pieve_slug,pieve_ornano,pieve_bozio
santa_maria_bocognano_haute,doyenne_contemporain_slug,doyenne_ajaccio,doyenne_cortenais
santa_maria_bocognano_haute,pieve_slug,pieve_celavo,pieve_talcini
santa_maria_calacuccia_village,doyenne_contemporain_slug,doyenne_cortenais,doyenne_balagne
santa_maria_calacuccia_village,pieve_slug,pieve_niolu,pieve_balagne
santa_maria_carpineto,doyenne_contemporain_slug,doyenne_du_golo,doyenne_cortenais
santa_maria_cozzano_ghisoni,doyenne_contemporain_slug,doyenne_prunelli_taravo_valinco,doyenne_plaine_orientale
santa_maria_cozzano_ghisoni,pieve_slug,pieve_verde,pieve_fiumorbo
santa_maria_poggio_d_oletta,doyenne_contemporain_slug,doyenne_du_cap,doyenne_du_golo
santa_maria_poggio_d_oletta,pieve_slug,pieve_nebbiu,pieve_mariana
santa_maria_polveroso,doyenne_contemporain_slug,doyenne_du_golo,doyenne_plaine_orientale
santa_maria_polveroso,pieve_slug,pieve_orezza,pieve_alesani
santa_maria_quenza,doyenne_contemporain_slug,doyenne_extreme_sud,doyenne_plaine_orientale
santa_reparata_barbaggio,doyenne_contemporain_slug,doyenne_du_cap,doyenne_du_golo
santa_reparata_montemaggiore,doyenne_contemporain_slug,doyenne_du_golo,doyenne_balagne
santa_reparata_montemaggiore,pieve_slug,pieve_casacconi,pieve_balagne
santa_restituda_meria_vico_interieur,doyenne_contemporain_slug,doyenne_du_cap,doyenne_piana_vico_sari
santa_restituda_meria_vico_interieur,pieve_slug,pieve_luri,pieve_sorroinsu
stazzona_di_u_diavulu_menhirs,doyenne_contemporain_slug,doyenne_du_golo,doyenne_extreme_sud
stazzona_di_u_diavulu_menhirs,pieve_slug,pieve_orezza,pieve_sartene
