slug,action,pieve_old,pieve_new,pieve_dist_km,doy_old,doy_new,doy_dist_km
castellu_di_bozzi_guitera,FLAGGED_ORPHAN,,(none),16.27,,(none),16.3
couvent_saint_francois_de_pino,ASSIGNED,pieve_luri,pieve_pino,4.88,doyenne_du_cap,doyenne_du_cap,12.57
couvent_sant_antoni_de_calvi,FLAGGED_ORPHAN,pieve_balagne,(none),10.42,doyenne_balagne,(none),11.3
menhir_sermano,FLAGGED_ORPHAN,pieve_rogna,(none),6.76,doyenne_cortenais,(none),7.39
mine_de_magnetite_de_farinole,FLAGGED_ORPHAN,pieve_nebbiu,(none),5.84,doyenne_du_cap,(none),8.74
san_giovanni_de_pino,ASSIGNED,pieve_luri,pieve_pino,2.57,doyenne_du_cap,doyenne_du_cap,16.75
san_giovanni_de_santa_maria_siche,FLAGGED_ORPHAN,pieve_ornano,(none),11.17,doyenne_prunelli_taravo_valinco,(none),9.79
san_martinu_alando,ASSIGNED,pieve_bozio,pieve_bozio,3.37,doyenne_cortenais,doyenne_cortenais,10.69
san_nicolao_pianello_bozio,FLAGGED_ORPHAN,pieve_bozio,(none),5.87,doyenne_cortenais,(none),8.84
san_nicolao_sermano,FLAGGED_ORPHAN,pieve_rogna,(none),6.76,doyenne_cortenais,(none),7.39
sant_andria_sermano_haut,ASSIGNED,pieve_rogna,pieve_bozio,4.54,doyenne_cortenais,doyenne_cortenais,10.21
santa_maria_assunta_ajaccio_bazzicacce,ASSIGNED,pieve_ajaccio,pieve_ajaccio,4.79,doyenne_ajaccio,doyenne_ajaccio,13.86
santa_maria_campile,ASSIGNED,pieve_casacconi,pieve_ampugnani,3.22,doyenne_du_golo,doyenne_du_golo,21.1
santa_maria_carpineto,FLAGGED_ORPHAN,pieve_orezza,(none),5.73,doyenne_cortenais,(none),11.25
santa_maria_della_neve_grosseto_prugna_basse,FLAGGED_ORPHAN,pieve_ornano,(none),7.77,doyenne_prunelli_taravo_valinco,(none),10.52
tour_d_erbalunga_brando,FLAGGED_ORPHAN,pieve_brando,(none),9.14,doyenne_du_cap,(none),18.36
tour_d_omigna_cargese,FLAGGED_ORPHAN,pieve_vico,(none),13.9,doyenne_piana_vico_sari,(none),14.15
tour_de_capitello_castelluccio,FLAGGED_ORPHAN,,(none),6.13,,(none),11.02
tour_de_capo_di_muro,FLAGGED_ORPHAN,,(none),22.57,,(none),24.99
tour_de_giraglia_ilot,FLAGGED_ORPHAN,,(none),5.37,,(none),25.31
tour_de_la_chiappella_rogliano,ASSIGNED,pieve_rogliano,pieve_rogliano,4.1,doyenne_du_cap,doyenne_du_cap,21.38
tour_de_turghiu_capo_rosso,FLAGGED_ORPHAN,,(none),10.21,,(none),12.64
