clé	statut	source	note
page_title	flaggé	— (cf. note)	palesà — Attesté (id 32510, palisà/palesà = avouer/divulguer/dévoiler/manifester). Sens « révéler » couvert par « dévoiler », MAIS signature de marque → arbitrage natif (palesà / svelà / rivelà).
skip_link	vérifié	INFCOR 2990, 12906	
h1_hidden	vérifié (flexion)	INFCOR 9066 · flexion: 15612	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
disclaimer_title	vérifié (flexion)	flexion: 6526	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
d_lead_em	flaggé	— (cf. note)	palesà — Attesté (id 32510, palisà/palesà = avouer/divulguer/dévoiler/manifester). Sens « révéler » couvert par « dévoiler », MAIS signature de marque → arbitrage natif (palesà / svelà / rivelà).
d_lead_text	flaggé	— (cf. note)	citatina — INFCOR id 53963 ne donne que « citadin » (urbain) → faux-sens possible pour « citoyen(ne) » civique.
d_block_title_em	vérifié (flexion)	flexion: 15612, 54907	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
d_block_title_contrib	vérifié	INFCOR 12821	
d_block_title_privacy	vérifié (flexion)	INFCOR 52019 · flexion: 13532, 36306	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
d_foot_text	vérifié (flexion)	INFCOR 28694, 36718 · flexion: 39205	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
d_foot_link	vérifié (flexion)	INFCOR 28060 · flexion: 12090	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
d_btn	vérifié	INFCOR 622, 9044	
logo_title	flaggé	— (cf. note)	palesà — Attesté (id 32510, palisà/palesà = avouer/divulguer/dévoiler/manifester). Sens « révéler » couvert par « dévoiler », MAIS signature de marque → arbitrage natif (palesà / svelà / rivelà).
logo_aria	vérifié	INFCOR 839, 39847	
tagline_em	flaggé	— (cf. note)	palesà — Attesté (id 32510, palisà/palesà = avouer/divulguer/dévoiler/manifester). Sens « révéler » couvert par « dévoiler », MAIS signature de marque → arbitrage natif (palesà / svelà / rivelà).
tagline_suffix	vérifié	INFCOR 	
nav_methodo	vérifié	INFCOR 28060	
nav_methodo_tt	vérifié	INFCOR 18021, 28060	
nav_termes	flaggé	— (cf. note)	termini — « termes » (termine) absent INFCOR forme exacte. À confirmer.
nav_termes_tt	vérifié (flexion)	INFCOR 19790 · flexion: 20295, 35825	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
nav_glossaire	vérifié	INFCOR 19790	
nav_glossaire_tt	vérifié (flexion)	INFCOR 12090, 19790, 20295, 32038, 49087 · flexion: 36802	contient une/des flexion(s) régulière(s) d'un lemme attesté ; forme exacte non rejouable telle quelle dans INFCOR.
nav_apropos	vérifié	INFCOR 36614	
nav_apropos_tt	vérifié	INFCOR 36473, 36614	
nav_patrimoine	vérifié	INFCOR 33245	
nav_patrimoine_tt	vérifié	INFCOR 9066, 33527	
